date,hardware
2011-03-04 04:19:32,linux machine
2011-03-04 04:23:44,radeon 5970
2011-03-04 22:50:54,miner with 2 5870's crossfired
2011-03-04 22:50:54,monitor
2011-03-04 22:50:54,2nd vga port
2011-03-04 22:50:54,hdmi port
2011-03-04 22:50:54,3rd pci-e slot
2011-03-05 02:03:07,gpu miner (poclbm)
2011-03-06 07:18:06,intel graphics media accelerator hd
2011-03-06 07:18:06,cpu-miner
2011-03-06 07:38:51,350w power supply
2011-03-06 07:38:51,radeon hd 5850
2011-03-06 07:38:51,40 gb pata hdd
2011-03-06 07:38:51,512 mb of ddr ram
2011-03-06 07:38:51,ecs ds7610
2011-03-06 07:38:51,5850
2011-03-06 07:38:51,5870
2011-03-06 07:38:51,athlon 64 2.0ghz s754
2011-03-06 14:10:34,asus m4a89gtd/pro usb3 mobo
2011-03-06 14:10:34,5970
2011-03-06 14:10:34,1200 watt antec power supply
2011-03-06 16:56:21,core 2 duo 45nm
2011-03-07 01:26:33,wallets
2011-03-07 01:26:33,box
2011-03-07 01:26:33,mining clients
2011-03-07 01:26:33,machines
2011-03-07 05:49:34,gtx 560
2011-03-07 05:49:34,linux system with onboard video
2011-03-07 05:49:34,nvidia card (geforce 7300gs)
2011-03-07 05:49:34,ati technologies inc rs880 [radeon hd 4250]
2011-03-07 05:49:34,nvidia corporation g71 [geforce 7300 gs] (rev a1)
2011-03-07 16:19:38,mining cluster
2011-03-07 16:19:38,air conditioner
2011-03-07 16:19:38,mining rigs
2011-03-07 16:19:38,equipment
2011-03-07 19:02:33,i5 m 480
2011-03-07 19:02:33,nvidia geforce gt 420m 1gig
2011-03-08 03:58:44,hd4850
2011-03-08 03:58:44,6870
2011-03-08 03:58:44,micro atx mobo
2011-03-08 03:58:44,antec p180
2011-03-08 03:58:44,8800gts g92
2011-03-08 03:58:44,6950 1gb
2011-03-08 03:58:44,accelero xtreme plus cooler
2011-03-08 19:12:18,dual 5970 setup
2011-03-09 02:50:18,xfx 5870
2011-03-09 05:10:04,sapphire radeon hd 4850
2011-03-09 05:10:04,core2quad q9550
2011-03-23 02:50:24,amd athlon x2 64 bit laptop
2011-04-13 16:08:09,nvidia corporation g71 [geforce 7900 gs]
2011-04-14 08:47:37,$400 rig
2011-04-14 08:47:37,nvidia cards
2011-04-14 08:47:37,radeon 5970
2011-04-14 08:47:37,nvidia gtx 9800 gx2
2011-04-14 08:47:37,5870
2011-04-15 04:20:09,2x 6950
2011-04-15 04:20:09,5970
2011-04-15 18:14:30,5870s
2011-04-15 18:14:30,heavy power supplies
2011-04-15 18:14:30,mainboards
2011-04-15 18:14:30,cpus
2011-04-16 08:12:07,cooler master cm 690 ii
2011-04-16 08:12:07,gpu
2011-04-16 08:12:07,bitcoin miner
2011-04-17 10:15:27,45 pc's
2011-04-17 10:15:27,intel p4
2011-04-17 10:15:27,video cards
2011-04-17 14:41:46,cooler master haf 932
2011-04-17 14:41:46,6990
2011-04-17 14:41:46,5970
2011-04-17 14:41:46,5850
2011-04-17 14:41:46,5770
2011-04-18 00:56:02,320m
2011-04-18 00:56:02,8800gt
2011-04-18 03:05:11,5870 rig
2011-04-18 03:43:25,8800gt
2011-04-18 03:43:25,intel graphics media accelerator gma 4500mi
2011-04-18 03:43:25,8600gt
2011-04-18 03:43:25,core 2 duo
2011-04-18 03:43:25,i3 @ 2.27 ghz
2011-04-18 04:38:23,intel c2d e4500
2011-04-18 04:38:23,asus p5b-v
2011-04-18 04:38:23,computer
2011-04-18 04:38:23,linux mining rig
2011-04-18 04:38:23,2 x 5870
2011-04-18 04:48:57,5870
2011-04-18 04:48:57,card
2011-04-18 12:56:54,fuzion chip
2011-04-18 12:56:54,hd5970
2011-04-18 12:56:54,msi afterburner
2011-04-18 12:56:54,catalyst control center
2011-04-18 12:56:54,hydralogix
2011-04-18 13:51:57,miner
2011-04-18 13:51:57,460gtx overclocked
2011-04-18 14:53:13,5870
2011-04-18 14:53:13,5970
2011-04-18 14:53:13,dummy plug
2011-04-18 14:53:13,5850
2011-04-18 14:53:13,5770
2011-04-18 14:53:13,6990
2011-04-19 09:59:32,win7 x64
2011-04-19 09:59:32,windows xp sp3
2011-04-19 09:59:32,gpus
2011-04-19 09:59:32,2g/hash cards
2011-04-19 09:59:32,5870 cards
2011-04-19 09:59:32,win7 ultimate
2011-04-19 18:00:06,5770
2011-04-19 18:00:06,5570
2011-04-19 18:00:06,6990
2011-04-19 18:00:06,ati radeon hd 5770
2011-04-20 03:32:21,gpu
2011-04-20 03:32:21,5970
2011-04-20 03:32:21,5870
2011-04-20 03:42:15,msi afterburner 6970
2011-04-20 03:42:15,browser
2011-04-20 03:42:15,video card
2011-04-20 07:27:03,ati radeon hd 5770
2011-04-20 07:27:03,amd athlon
2011-04-20 22:53:27,radeon 5970 card
2011-04-20 22:53:27,pc
2011-04-20 22:53:27,ubuntu machine
2011-04-20 22:53:27,2nd machine
2011-04-21 02:52:03,4x5870s
2011-04-21 02:52:03,gtx 285
2011-04-21 02:52:03,5850
2011-04-21 02:52:03,5770
2011-04-21 02:52:03,2gb eye-finity sapphire card
2011-04-21 02:52:03,5870
2011-04-21 02:52:03,msi motherboard
2011-04-21 02:57:00,5870
2011-04-21 02:57:00,dual 5870 rig
2011-04-21 02:57:00,windows 7 ultimate 64 bit
2011-04-21 08:17:43,computers
2011-04-21 08:17:43,server
2011-04-21 13:21:42,catalyst 11.3
2011-04-21 13:21:42,hd 4350
2011-04-21 13:21:42,windows server 2008
2011-04-21 13:21:42,ati/amd
2011-04-21 14:25:08,zombies
2011-04-21 14:25:08,30 mln box botnet
2011-04-21 20:22:24,light bulbs
2011-04-21 20:22:24,a/c
2011-04-21 20:22:24,rigs
2011-04-21 20:22:24,extra computers
2011-04-21 20:22:24,tvs
2011-04-21 20:22:24,5870s
2011-04-21 21:24:27,fans
2011-04-21 21:24:27,cards
2011-04-21 21:24:27,non reference 5870s
2011-04-21 21:24:27,windows 7 32-bit
2011-04-21 21:24:27,5870
2011-04-21 21:24:27,dual 5870s
2011-04-22 00:01:38,radeon 5870
2011-04-22 00:01:38,fans
2011-04-22 00:01:38,case
2011-04-22 00:01:38,case fan
2011-04-22 00:01:38,zalmann gs1000
2011-04-22 17:44:58,xfx 5850
2011-04-22 17:44:58,hd 5850
2011-04-22 17:44:58,gigabyte 5850
2011-04-22 17:44:58,5970
2011-04-22 23:55:09,cpuminer
2011-04-22 23:55:09,cpu
2011-04-23 04:58:34,6870
2011-04-23 04:58:34,6850
2011-04-23 04:58:34,5870
2011-04-23 04:58:34,hd6870 card
2011-04-23 04:58:34,hd6850
2011-05-01 05:10:56,nvidia gtx 280
2011-05-01 05:10:56,hd5850
2011-05-01 05:10:56,5770
2011-05-01 05:10:56,ati 5870
2011-05-06 19:51:31,amazon ec2 cluster gpu instances
2011-05-06 19:51:31,intel xeon x5570
2011-05-06 19:51:31,nvidia tesla fermi m2050
2011-05-06 19:51:31,cpu rig
2011-05-07 10:31:48,6870
2011-05-07 10:31:48,nvidia quadro fx 3700m gpu
2011-05-07 18:20:20,geforce 260
2011-05-07 18:20:20,560ti
2011-05-07 18:20:20,5770
2011-05-07 18:20:20,gtx 260
2011-05-07 18:20:20,5830
2011-05-07 20:48:52,6pc
2011-05-07 22:40:37,cpu
2011-05-07 22:40:37,os
2011-05-07 22:40:37,diablominer
2011-05-07 22:40:37,gpu0
2011-05-07 22:40:37,motherboard
2011-05-07 22:40:37,gpu1
2011-05-07 22:40:37,5970
2011-05-07 22:40:37,hd 5870
2011-05-07 22:40:37,sata drive
2011-05-07 22:40:37,ide back planes
2011-05-07 22:43:19,ati 5850
2011-05-07 22:43:19,pci-e slots
2011-05-07 22:43:19,mining boxes
2011-05-07 22:43:19,open-cooling miner
2011-05-08 03:45:42,2.5gh/s
2011-05-08 07:54:09,fedora box
2011-05-08 07:54:09,ubuntu 10.04 server
2011-05-08 07:54:09,centos
2011-05-08 11:18:45,vps
2011-05-08 13:03:39,pcs
2011-05-08 13:03:39,phoenix miner
2011-05-08 14:52:21,5770
2011-05-08 14:52:21,650w psu
2011-05-08 14:52:21,gtx 460
2011-05-08 14:52:21,850w 80+ gold psu
2011-05-08 14:52:21,1000 w corsair hx 1000
2011-05-08 14:52:21,hd 6990
2011-05-08 14:52:21,5970
2011-05-08 14:52:21,q6600
2011-05-08 16:20:05,computers
2011-05-08 17:51:57,4gb generic ddr3
2011-05-08 17:51:57,6950
2011-05-08 17:51:57,amd sempron 140m
2011-05-08 17:51:57,1500w silverstone psu
2011-05-08 17:51:57,5850
2011-05-08 17:51:57,msi 890fx motherboard (5pci-e x16 size 1 pci-e x1)
2011-05-08 19:06:34,client machines
2011-05-08 19:06:34,server
2011-05-08 19:06:34,5870s
2011-05-08 19:14:07,desktop
2011-05-08 19:14:07,gpu
2011-05-08 19:14:07,5970s
2011-05-08 19:29:13,router
2011-05-08 19:29:13,pc
2011-05-08 19:52:17,cpu servers
2011-05-08 19:52:17,remote miner bitcoin
2011-05-08 19:52:17,crappy laptops
2011-05-08 19:52:17,ati firepro 8700
2011-05-08 19:52:17,xeon 2-4 core servers
2011-05-08 19:52:17,firegl 8700
2011-05-08 19:52:17,water cooled i5
2011-05-08 22:30:44,sempron 140/1gb ddr3 ram/40gb hd
2011-05-08 22:30:44,psu
2011-05-08 22:36:17,pci-e 1x slot
2011-05-08 23:43:36,radeon 5830
2011-05-08 23:43:36,radeon 5670
2011-05-09 01:43:50,local bitcoin application
2011-05-09 01:43:50,phoenix miner
2011-05-09 02:46:47,5870
2011-05-09 02:46:47,psu
2011-05-09 02:55:25,6870 video card
2011-05-09 02:55:25,300mhash/s card
2011-05-09 02:55:25,amd smartdoctor
2011-05-09 05:10:23,4890
2011-05-09 05:10:23,5850
2011-05-09 05:10:23,5870
2011-05-09 06:24:18,6990s
2011-05-09 06:24:18,msi afterburner
2011-05-09 06:24:18,gpu fans
2011-05-09 06:24:18,antec 300
2011-05-09 06:24:18,6870
2011-05-09 06:24:18,5870
2011-05-09 06:38:19,nvidia gtx 260
2011-05-09 06:38:19,evga precision
2011-05-09 06:49:23,gpu
2011-05-09 06:49:23,cpu
2011-05-09 08:37:05,miner
2011-05-09 11:06:08,teamview
2011-05-09 11:06:08,pc
2011-05-09 12:07:32,ati 5850 oc
2011-05-09 12:07:32,low end pc parts
2011-05-09 12:07:32,phoenix miner
2011-05-09 12:07:32,diablo
2011-05-09 12:07:32,gpu
2011-05-09 12:19:07,worker submit 360 shares over an hour
2011-05-09 15:42:18,pc
2011-05-09 17:07:14,ati firepro v3750
2011-05-13 21:16:03,radeon 6970
2011-05-14 23:36:19,hd6870
2011-05-14 23:36:19,1000 mhash/sec
2011-05-15 00:27:06,sapphire radeon 5850
2011-05-15 00:27:06,ubuntu 10.10
2011-05-15 03:35:41,gunning rig(?)
2011-05-15 03:35:41,rig
2011-05-15 03:54:21,pci-e 16x slots
2011-05-15 03:54:21,saphire 5850
2011-05-15 05:04:52,$500 pc
2011-05-15 05:04:52,radeon 4670
2011-05-15 05:12:19,mobo
2011-05-15 05:12:19,20 gig ibm ide hdd
2011-05-15 05:12:19,asus one-slot motherboard
2011-05-15 05:12:19,sempron
2011-05-15 05:12:19,5870s
2011-05-15 05:12:19,msi board
2011-05-15 05:12:19,asus open box
2011-05-15 05:12:19,msi two-slot motherboards
2011-05-15 06:46:00,etc)
2011-05-15 09:38:40,gpus
2011-05-15 09:38:40,diablominer
2011-05-15 09:38:40,poclbm
2011-05-15 09:38:40,catalyst control center
2011-05-15 09:38:40,xp box
2011-05-15 09:38:40,comp with two 6990
2011-05-15 09:38:40,gigabyte hd 6990
2011-05-15 09:38:40,motherboard
2011-05-15 12:26:41,ati mobility radeon hd 4300 series
2011-05-15 12:26:41,ati app sdk
2011-05-15 13:50:51,bitcoind
2011-05-15 13:50:51,phoenix
2011-05-15 13:50:51,poclbm
2011-05-15 17:22:15,ati cards
2011-05-15 17:22:15,3 ati cards
2011-05-15 17:22:15,2x5870 rig
2011-05-15 17:22:15,kvm switch
2011-05-15 17:22:15,cf bridges
2011-05-15 19:26:53,gpu
2011-05-15 19:26:53,5830
2011-05-15 19:36:02,8gb ram
2011-05-15 19:36:02,corsair tx-850
2011-05-15 19:36:02,2x5970
2011-05-15 19:36:02,e4300 rig
2011-05-15 19:36:02,4 5850
2011-05-15 19:36:02,sempron 140 processor
2011-05-15 19:36:02,tx750
2011-05-15 19:36:02,i7 processor
2011-05-15 20:57:22,asus m2n-e card
2011-05-15 22:26:55,ati radeon 5870
2011-05-16 00:41:16,80 gb sata hdd
2011-05-16 00:41:16,motherboard
2011-05-16 00:41:16,ddr3 ram
2011-05-16 00:41:16,cooler master haf x
2011-05-16 00:41:16,ati 6990
2011-05-16 00:41:16,120 mm fans
2011-05-16 00:41:16,200mm sidepanel fan
2011-05-16 00:41:16,amd sempron 140 sargas 2.7ghz
2011-05-16 04:18:24,msi 870a-g54 motherboard
2011-05-16 04:18:24,level 10 gt
2011-05-16 04:18:24,5hdd's
2011-05-16 04:18:24,amd 1090t
2011-05-16 04:18:24,1 ssd
2011-05-16 04:18:24,asus ares 5870x2
2011-05-16 06:39:33,5870
2011-05-16 06:39:33,5970
2011-05-16 07:32:21,i5 650
2011-05-16 07:32:21,4gb ram
2011-05-16 07:32:21,gtx 560ti
2011-05-16 07:57:12,non-reference sapphire 5870
2011-05-16 07:57:12,toughpower 1350w supply
2011-05-16 07:57:12,thermaltake w0133ru toughpower 1200w modular power supply
2011-05-16 07:57:12,nvidia 295
2011-05-16 07:57:12,reference 5850
2011-05-16 07:57:12,intel d975xbx
2011-05-16 07:57:12,coolermaster 700w silent pro
2011-05-16 07:57:12,intel e6400
2011-05-16 07:57:12,700 w psu
2011-05-16 07:57:12,intel e6300
2011-05-16 07:57:12,5870
2011-05-16 08:03:02,ati gpu
2011-05-16 08:56:46,hd ati 6750m
2011-05-16 08:56:46,ati 6750m card
2011-05-16 08:56:46,"macbookpro 15"" mid 2011"
2011-05-16 08:56:46,i7 2.2ghz macbook pro
2011-05-16 11:13:01,cpu
2011-05-16 11:13:01,fans
2011-05-16 11:47:57,5770
2011-05-16 11:47:57,rivatuner
2011-05-16 11:47:57,ccc
2011-05-16 11:47:57,msi afterburner
2011-05-16 14:57:10,pyhon2.7
2011-05-16 14:57:10,5870
2011-05-16 15:08:30,mining rigs
2011-05-16 17:13:02,iphone
2011-05-16 22:42:00,intel xeon 2333 mhz
2011-05-16 22:42:00,9800gt 1 gbi
2011-05-16 22:58:18,rbe
2011-05-16 22:58:18,sapphire
2011-05-16 22:58:18,6990 bios memory
2011-05-16 23:29:08,mining cluster
2011-05-16 23:38:12,xbox 360
2011-05-16 23:38:12,oem 300w psu
2011-05-16 23:38:12,corsair tx650
2011-05-16 23:38:12,2x5850's
2011-05-16 23:38:12,corsair 650w psu
2011-05-16 23:38:12,cards
2011-05-16 23:38:12,5750
2011-05-16 23:50:16,6950
2011-05-17 00:09:11,ati drivers
2011-05-17 00:09:11,zotac ion (nvidia ion) vid card
2011-05-17 00:09:11,xorg-x11-drivers
2011-05-19 20:01:10,cpuminer-1.0.1
2011-05-19 20:01:10,server with 2 six-core opterons
2011-05-19 23:18:09,mac mini
2011-05-19 23:18:09,macbook air
2011-05-20 20:49:21,5850
2011-05-20 20:49:21,mining asics
2011-05-20 21:10:48,mac
2011-05-22 20:36:42,4x pcie mboard
2011-05-22 20:36:42,koolance blocks and reservoir
2011-05-22 20:36:42,6x machines
2011-05-22 20:36:42,2x 6990s
2011-05-22 20:36:42,4x cards
2011-05-22 20:36:42,xfx 6990s
2011-05-22 20:36:42,1600w psu
2011-05-22 20:36:42,32gb hdd
2011-05-22 20:36:42,1gb ram
2011-05-22 20:36:42,amd phenom x4
2011-05-22 20:36:42,asus mboard
2011-05-22 20:37:20,computer
2011-05-22 21:38:53,550w psu
2011-05-22 21:38:53,5850
2011-05-22 21:38:53,5970
2011-05-22 21:38:53,extenders
2011-05-22 21:38:53,geforce 9600 gso
2011-05-22 22:45:58,vrm
2011-05-22 22:45:58,window a/c
2011-05-22 22:45:58,quad-fire pc setup
2011-05-22 22:45:58,heatsinks
2011-05-22 22:45:58,xfx 5850 black edition
2011-05-22 22:45:58,sapphire 5850 extreme
2011-05-22 22:45:58,sapphire 4850 vapor-x
2011-05-22 22:45:58,molex 8981
2011-05-22 22:45:58,5850
2011-05-22 22:45:58,gpu
2011-05-22 22:45:58,cooler master haf mid-tower
2011-05-22 23:27:36,nvidia driver
2011-05-22 23:27:36,windows 7
2011-05-22 23:53:38,5870's
2011-05-23 00:15:07,6850
2011-05-23 00:15:07,5770
2011-05-23 00:15:07,pci-e 1.0 x16
2011-05-23 00:15:07,x1900
2011-05-23 00:15:07,amd sempron 3200
2011-05-23 00:15:07,1 gb ddr2
2011-05-23 00:59:07,8800 gts 640mb
2011-05-23 00:59:07,nvidia gtx 280
2011-05-23 01:36:58,radeon x600 pci card
2011-05-23 01:36:58,asus a8v-vmse board
2011-05-23 01:49:06,5850
2011-05-23 01:49:06,5770
2011-05-23 01:49:06,4650
2011-05-23 01:49:06,5870
2011-05-23 01:49:06,xfx model
2011-05-23 01:49:06,400w generic-brand psu
2011-05-23 01:49:06,5850
2011-05-23 02:26:18,asus eah 5770 graphic card
2011-05-23 02:30:05,5830
2011-05-23 02:30:05,5870
2011-05-23 02:30:05,6850 card
2011-05-23 02:30:05,5850
2011-05-23 03:27:37,sapphire 5850 extreme
2011-05-23 03:27:37,msi 890fxa-gd70 motherboard
2011-05-23 03:27:37,amd sempron 140 processor
2011-05-23 03:27:37,1kw ocz psu
2011-05-23 03:27:37,5870
2011-05-23 03:35:27,480s
2011-05-23 03:35:27,gtx260x216 core
2011-05-23 03:35:27,core-i5 750
2011-05-23 03:35:27,8800gt
2011-05-23 03:35:27,gtx570
2011-05-23 03:35:27,i7 960
2011-05-23 03:35:27,gtx470
2011-05-23 03:39:28,windows 7 machines
2011-05-23 03:39:28,mining client
2011-05-23 03:47:46,amd quad
2011-05-23 03:47:46,msi 890fx board with 1 kw psu
2011-05-23 03:47:46,azza psaz-1000a14 psu
2011-05-23 03:47:46,used parts
2011-05-23 03:47:46,2x 5850 rig
2011-05-23 03:47:46,msi 890fx board with 1 kw psu
2011-05-23 03:47:46,1gb ddr3
2011-05-23 03:47:46,750w thermaltake tough power 775w
2011-05-23 03:47:46,foxconn amd motherboard with dual pci-e
2011-05-23 03:47:46,sempron 140
2011-05-23 03:47:46,laptop sata drive
2011-05-23 03:47:46,mod board
2011-05-23 03:47:46,5850s
2011-05-23 03:47:46,thumb drive
2011-05-23 03:47:46,1.2 ghps rig
2011-05-23 05:48:21,evga geforce 9500 gt 01g-p3-n959-tr video card
2011-05-23 06:19:18,5870
2011-05-23 06:19:18,mobo
2011-05-23 06:37:36,video cards
2011-05-23 06:37:36,gfx card fan
2011-05-23 06:37:36,5870
2011-05-23 06:37:36,6970
2011-05-23 07:05:17,amd gpu
2011-05-23 07:05:17,5970
2011-05-23 07:05:17,sapphire 100297l radeon hd 5830
2011-05-23 07:05:17,5850
2011-05-23 07:05:17,5830
2011-05-23 07:05:17,geforce 8600
2011-05-23 07:05:17,5770
2011-05-23 09:42:57,gpu
2011-05-23 09:42:57,120mm fans
2011-05-23 09:42:57,cd case
2011-05-23 09:42:57,3hdd
2011-05-23 09:42:57,cooler master psu
2011-05-23 09:42:57,amd phenom 9600
2011-05-23 09:42:57,amd hd 6970
2011-05-23 10:18:52,6950
2011-05-23 10:18:52,5850
2011-05-23 10:18:52,6870
2011-05-23 10:18:52,5870
2011-05-23 14:26:57,6870
2011-05-23 15:15:49,mobile nvidia crap
2011-05-23 15:15:49,android phone
2011-05-23 15:15:49,actel kits
2011-05-23 16:21:40,10.5.8 macbook
2011-05-23 16:21:40,mac pro setup
2011-05-23 16:21:40,ati radeon hd 6490m
2011-05-23 16:21:40,radeon hd 4870
2011-05-23 16:21:40,leopard machines
2011-05-23 17:33:04,5970s
2011-05-23 17:33:04,6990s
2011-05-23 17:33:04,dishwasher
2011-05-23 17:33:04,garbage disposal
2011-05-23 17:37:00,5970
2011-05-23 17:37:00,5850
2011-05-23 17:37:00,pcie extenders
2011-05-23 17:37:00,asus rampage iii gene
2011-05-23 17:51:40,ubuntu 10.4
2011-05-23 17:51:40,ubuntu 10.10
2011-05-23 17:51:40,5970 based rig
2011-05-23 17:51:40,amd radeon hd 6990
2011-05-23 17:51:40,ubuntu 11.04
2011-05-23 18:53:18,mobo tray
2011-05-23 18:53:18,fans
2011-05-23 20:19:09,ubuntu computers
2011-05-23 21:23:45,radeon 5830
2011-05-23 21:23:45,cards and cases
2011-05-23 21:49:48,5850
2011-05-23 21:49:48,corsair professional series cmpsu-ax1200 80 plus gold power supply
2011-05-23 21:49:48,amd radeon hd 6970 2gb gddr5 16x pcie video card
2011-05-23 22:00:07,nvidia 550 gtx
2011-05-23 22:00:07,bitcoin wallet software
2011-05-24 02:13:54,ati radeon hd 5870
2011-05-24 02:13:54,ati radeon hd 6970
2011-05-24 16:59:04,radeon
2011-05-24 22:02:43,mid-2009 macbook pro
2011-05-24 22:02:43,gpu
2011-05-24 22:02:43,cpus
2011-05-25 15:58:31,machine
2011-05-25 15:58:31,miner
2011-05-26 00:00:46,mac
2011-05-26 06:24:07,50bts
2011-05-26 06:24:07,generator
2011-05-26 06:24:07,stationary bicycle
2011-05-27 11:04:41,processswi
2011-05-27 11:04:41,gtx570
2011-05-27 11:04:41,pc
2011-05-27 11:22:51,6470m
2011-05-27 12:17:21,computer
2011-05-27 12:17:21,dropbox
2011-05-27 12:17:21,usb stick
2011-05-27 12:17:21,truecrypt volume
2011-05-27 12:17:21,wallet
2011-05-27 13:09:25,mining rig
2011-05-27 13:53:03,card
2011-05-27 15:11:50,guiminer
2011-05-27 15:11:50,m0mchil
2011-05-27 15:11:50,cards
2011-05-27 15:11:50,xfx cards
2011-05-27 15:11:50,asus 5850s
2011-05-27 15:15:09,cards
2011-05-27 16:33:00,computer
2011-05-27 21:22:34,work pc's
2011-05-27 21:22:34,radeon 5970
2011-05-27 21:22:34,radeon 6990
2011-05-27 21:50:47,computers
2011-05-27 21:50:47,gaming computers
2011-05-27 21:50:47,graphic card
2011-05-27 22:34:06,2 5850's
2011-05-27 22:34:06,crossfire cables
2011-05-27 22:34:06,video card
2011-05-27 22:34:06,second monitor
2011-05-27 22:34:06,ati overdrive / overclock settings
2011-05-27 22:34:06,catalyst 11.5 drivers
2011-05-27 22:34:06,msi afterburner
2011-05-27 22:34:06,ati trays
2011-05-27 22:34:06,sapphire 5870
2011-05-27 23:19:01,5850
2011-05-27 23:29:50,miners
2011-05-28 00:02:02,xfx hd5870s
2011-05-28 00:02:02,sapphire hd5870
2011-05-28 00:02:02,12 5870s
2011-05-28 00:39:28,graphics card
2011-05-28 00:39:28,cpu
2011-05-28 02:23:22,memory
2011-05-28 02:23:22,cores
2011-05-28 02:23:22,middle-bridge
2011-05-28 02:23:22,foam
2011-05-28 02:23:22,stock cooler
2011-05-28 02:23:22,dual-gpu card
2011-05-28 02:23:22,vrms
2011-05-28 02:23:22,reference 5970 case
2011-05-28 03:52:30,msi 890fxa-gd70
2011-05-28 03:52:30,corsair 950tx
2011-05-28 03:52:30,amd sempron
2011-05-28 03:52:30,ddr3 ram 2gb
2011-05-28 03:52:30,6870
2011-05-28 03:52:30,24pin
2011-05-28 03:52:30,8pin
2011-05-28 03:52:30,2 6pins
2011-05-28 05:52:40,windows 7 ultimate 32bit
2011-05-28 05:52:40,msi motherboard
2011-05-28 05:52:40,6950
2011-05-28 06:21:52,computers
2011-05-28 06:21:52,bitcoin.exe client
2011-05-28 06:39:03,hd5870
2011-05-28 06:39:03,6950
2011-05-28 06:39:03,5850
2011-05-28 06:39:03,monitor
2011-05-28 06:39:03,5830
2011-05-28 07:07:39,60gh/s
2011-05-28 07:07:39,500gh/s
2011-05-28 07:07:39,150gh/s
2011-05-28 07:07:39,300 gh/s
2011-05-28 07:07:39,90gh/s
2011-05-28 08:35:15,ubuntu 10.04
2011-05-28 08:35:15,ubuntu 11.04
2011-05-28 08:35:15,lvm
2011-05-28 08:35:15,gpu
2011-05-28 08:49:34,nvidia geforce 240 gt
2011-05-28 08:49:34,gui miner
2011-05-28 08:49:34,5850
2011-05-28 08:49:34,ati
2011-05-28 08:49:34,nvidia
2011-05-28 09:02:28,ati radeon hd 5800 series
2011-05-28 09:02:28,amdoverdrivectrl
2011-05-28 09:02:28,4x5830 rig
2011-05-28 10:10:02,rjsonio script
2011-05-28 12:46:35,2.66ghz core 2 duo
2011-05-28 12:46:35,radeon hd 4870
2011-05-28 12:46:35,4u server
2011-05-28 12:46:35,4 xeon procs with ht
2011-05-28 12:46:35,hd 2xxx radeon
2011-05-28 14:42:11,5870s
2011-05-28 14:48:39,miners
2011-05-28 14:48:39,computers
2011-05-28 14:48:39,router
2011-05-28 14:48:39,iphone
2011-05-28 18:15:24,4gb ddrd2
2011-05-28 18:15:24,geforce 9600 gso 512
2011-05-28 18:15:24,intel e5300 (2.60ghz)
