hardware_name,hardware_release_date,speed,power,noise,hash,profit,Mhash/J,hardware_index
iPollo B1L,Mar 2022,60Th/s,3000W,75db,SHA-256,-$3.37/day,20000.0,26
Ebang Ebit E10D,Sep 2021,25Th/s,3500W,75db,SHA-256,-$7.89/day,7142.857142857142,27
Canaan AvalonMiner 1126 Pro,Aug 2021,68Th/s,3420W,75db,SHA-256,-$3.88/day,19883.040935672518,28
Bitmain Antminer S19j Pro,Aug 2021,96Th/s,2832W,75db,SHA-256,$0.27/day,33898.30508474576,29
Bolon Miner B11,Aug 2021,70Th/s,3300W,75db,SHA-256,-$3.36/day,21212.121212121212,30
Bitmain Antminer T19,Aug 2021,88Th/s,3344W,75db,SHA-256,-$1.91/day,26315.78947368421,31
Innosilicon T2 Turbo HF+,Jul 2021,33Th/s,2600W,72db,SHA-256,-$4.59/day,12692.307692307691,32
Bitmain Antminer S19j Pro,Jul 2021,104Th/s,3068W,75db,SHA-256,$0.29/day,33898.30508474576,33
StrongU Hornbill H8 Pro,Jul 2021,84Th/s,3360W,76db,SHA-256,-$2.30/day,25000.0,34
Innosilicon T2 Turbo 26T,Jul 2021,26Th/s,2100W,75db,SHA-256,-$3.77/day,12380.952380952382,35
Bitmain Antminer S19j Pro,Jun 2021,100Th/s,3050W,75db,SHA-256,-$0.01/day,32786.88524590164,36
Bitmain Antminer S19j,Jun 2021,90Th/s,3250W,75db,SHA-256,-$1.46/day,27692.30769230769,37
Aisen A1 Pro,May 2021,23Th/s,2200W,72db,SHA-256,-$4.32/day,10454.545454545454,38
Canaan AvalonMiner 1246,Jan 2021,90Th/s,3420W,75db,SHA-256,-$1.95/day,26315.78947368421,39
MicroBT Whatsminer M31S+,Dec 2020,80Th/s,3360W,70db,SHA-256,-$2.66/day,23809.52380952381,40
MicroBT Whatsminer M32S,Nov 2020,66Th/s,3432W,75db,SHA-256,-$4.09/day,19230.76923076923,41
MicroBT Whatsminer M30S++,Oct 2020,112Th/s,3472W,75db,SHA-256,-$0.17/day,32258.06451612903,42
MicroBT Whatsminer M30S+,Oct 2020,100Th/s,3400W,75db,SHA-256,-$1.02/day,29411.764705882353,43
StrongU Hornbill H8,Oct 2020,74Th/s,3330W,76db,SHA-256,-$3.10/day,22222.222222222223,44
Canaan AvalonMiner 1166 Pro,Aug 2020,81Th/s,3400W,75db,SHA-256,-$2.68/day,23823.529411764706,45
Canaan AvalonMiner 1146 Pro,Aug 2020,63Th/s,3276W,75db,SHA-256,-$3.91/day,19230.76923076923,46
MicroBT Whatsminer M32,Jul 2020,62Th/s,3348W,75db,SHA-256,-$4.20/day,18518.51851851852,47
Bitmain Antminer T19,Jun 2020,84Th/s,3150W,75db,SHA-256,-$1.70/day,26666.666666666668,48
Bitmain Antminer S19 Pro,May 2020,110Th/s,3250W,75db,SHA-256,$0.29/day,33846.153846153844,49
Bitmain Antminer S19,May 2020,95Th/s,3250W,75db,SHA-256,-$1.02/day,29230.76923076923,50
MicroBT Whatsminer M30S,Apr 2020,86Th/s,3268W,72db,SHA-256,-$1.86/day,26315.78947368421,51
MicroBT Whatsminer M31S,Apr 2020,76Th/s,3220W,75db,SHA-256,-$2.96/day,23602.48447204969,52
Bitmain Antminer S17+,Dec 2019,73Th/s,2920W,75db,SHA-256,-$2.00/day,25000.0,53
Bitmain Antminer T17+,Dec 2019,64Th/s,3200W,75db,SHA-256,-$3.60/day,20000.0,54
Bitmain Antminer S17e,Nov 2019,64Th/s,2880W,80db,SHA-256,-$2.68/day,22222.222222222223,55
Bitmain Antminer T17e,Nov 2019,53Th/s,2915W,80db,SHA-256,-$3.74/day,18181.81818181818,56
Ebang Ebit E12+,Sep 2019,50Th/s,2500W,75db,SHA-256,-$2.81/day,20000.0,57
Ebang Ebit E12,Sep 2019,44Th/s,2500W,75db,SHA-256,-$3.34/day,17600.0,58
Canaan AvalonMiner 1047,Sep 2019,37Th/s,2380W,70db,SHA-256,-$3.61/day,15546.218487394959,59
Innosilicon T3+ 57T,Sep 2019,57Th/s,3300W,75db,SHA-256,-$4.50/day,17272.727272727272,60
Canaan AvalonMiner 1066,Sep 2019,50Th/s,3250W,75db,SHA-256,-$4.97/day,15384.615384615385,61
StrongU STU-U8 Pro,Sep 2019,60Th/s,2800W,76db,SHA-256,-$2.80/day,21428.571428571428,62
MicroBT Whatsminer M21,Aug 2019,31Th/s,1860W,75db,SHA-256,-$2.64/day,16666.666666666668,63
MicroBT Whatsminer M20S,Aug 2019,68Th/s,3360W,75db,SHA-256,-$3.71/day,20238.09523809524,64
Bitmain Antminer S9k,Aug 2019,13.5Th/s,1310W,76db,SHA-256,-$2.59/day,10305.343511450383,65
Innosilicon T3 50T,Jul 2019,50Th/s,3100W,75db,SHA-256,-$4.54/day,16129.032258064515,66
StrongU STU-U8,Jul 2019,46Th/s,2100W,76db,SHA-256,-$2.01/day,21904.761904761905,67
Bitmain Antminer S9 SE,Jul 2019,16Th/s,1280W,76db,SHA-256,-$2.28/day,12500.0,68
MicroBT Whatsminer M21S,Jun 2019,56Th/s,3360W,75db,SHA-256,-$4.76/day,16666.666666666668,69
Bitmain Antminer T17,May 2019,40Th/s,2200W,82db,SHA-256,-$2.83/day,18181.81818181818,70
Innosilicon T3+ 52T,May 2019,52Th/s,2800W,75db,SHA-256,-$1.77/day,18571.428571428572,71
Bitmain Antminer S17 Pro,Apr 2019,50Th/s,1975W,82db,SHA-256,-$1.30/day,25316.45569620253,72
Bitmain Antminer S17 Pro,Apr 2019,53Th/s,2094W,82db,SHA-256,-$1.38/day,25310.41069723018,73
Bitmain Antminer S17,Apr 2019,53Th/s,2385W,82db,SHA-256,-$2.22/day,22222.222222222223,74
Bitmain Antminer S17,Apr 2019,56Th/s,2520W,82db,SHA-256,-$2.34/day,22222.222222222223,75
Innosilicon T3 39T,Mar 2019,39Th/s,2150W,75db,SHA-256,-$2.77/day,18139.534883720928,76
Innosilicon T3 43T,Jan 2019,43Th/s,2100W,75db,SHA-256,-$2.27/day,20476.190476190477,77
Holic H22,Dec 2018,22Th/s,1700W,70db,SHA-256,-$2.68/day,12941.176470588236,78
Holic H28,Dec 2018,28Th/s,2100W,70db,SHA-256,-$3.59/day,13333.333333333334,79
Bitfury Tardis,Nov 2018,80Th/s,6300W,80db,SHA-256,-$11.12/day,12698.412698412698,80
Bitmain Antminer S11,Nov 2018,20.5Th/s,1530W,76db,SHA-256,-$2.61/day,13398.692810457516,81
GMO miner B3,Nov 2018,33Th/s,3417W,75db,SHA-256,-$6.94/day,9657.594381035997,82
Ebang Ebit E11++,Oct 2018,44Th/s,1980W,75db,SHA-256,-$1.84/day,22222.222222222223,83
Ebang Ebit E11+,Oct 2018,37Th/s,2035W,75db,SHA-256,-$2.61/day,18181.81818181818,84
Ebang Ebit E11,Oct 2018,30Th/s,1950W,75db,SHA-256,-$2.98/day,15384.615384615385,85
GMO miner B2,Oct 2018,24Th/s,1950W,70db,SHA-256,-$3.51/day,12307.692307692309,86
Ebang Ebit E9,Sep 2018,6.3Th/s,1077W,72db,SHA-256,-$2.55/day,5849.58217270195,87
Canaan AvalonMiner 921,Sep 2018,20Th/s,1700W,72db,SHA-256,-$3.14/day,11764.70588235294,88
MicroBT Whatsminer M10,Sep 2018,33Th/s,2145W,75db,SHA-256,-$3.28/day,15384.615384615385,89
MicroBT Whatsminer M10S,Sep 2018,55Th/s,3500W,75db,SHA-256,-$5.25/day,15714.285714285716,90
Innosilicon T2 Turbo+ 32T,Sep 2018,32Th/s,2200W,72db,SHA-256,-$3.53/day,14545.454545454546,91
Bitmain Antminer S9 Hydro,Aug 2018,18Th/s,1728W,45db,SHA-256,-$3.40/day,10416.666666666666,92
Bitfily Snow Panther B1+,Aug 2018,24.5Th/s,2100W,75db,SHA-256,-$3.90/day,11666.666666666668,93
Bitmain Antminer S9j,Aug 2018,14.5Th/s,1350W,76db,SHA-256,-$2.62/day,10740.740740740739,94
Innosilicon T2 Turbo,Aug 2018,24Th/s,1980W,72db,SHA-256,-$3.60/day,12121.212121212122,95
Ebang Ebit E9i,Jul 2018,13.5Th/s,1420W,74db,SHA-256,-$2.90/day,9507.042253521126,96
Bitfily Snow Panther B1,Jul 2018,16Th/s,1380W,75db,SHA-256,-$2.57/day,11594.202898550724,97
Innosilicon T2 Terminator,May 2018,17.2Th/s,1570W,72db,SHA-256,-$3.01/day,10955.414012738853,98
Ebang Ebit E9.3,May 2018,16Th/s,1760W,72db,SHA-256,-$3.66/day,9090.90909090909,99
Bitmain Antminer S9i,May 2018,13Th/s,1280W,76db,SHA-256,-$2.57/day,10156.25,100
Ebang Ebit E9.2,May 2018,12Th/s,1320W,70db,SHA-256,-$2.75/day,9090.90909090909,101
Bitmain Antminer S9i,May 2018,14Th/s,1320W,76db,SHA-256,-$2.57/day,10606.060606060606,102
Canaan AvalonMiner 841,Apr 2018,13.6Th/s,1290W,65db,SHA-256,-$2.52/day,10542.635658914729,103
Halong Mining DragonMint T1,Apr 2018,16Th/s,1480W,75db,SHA-256,-$2.86/day,10810.810810810812,104
MicroBT Whatsminer M3X,Mar 2018,12.5Th/s,2050W,78db,SHA-256,-$4.81/day,6097.5609756097565,105
Bitmain Antminer V9,Mar 2018,4Th/s,1027W,76db,SHA-256,-$2.61/day,3894.8393378773126,106
Canaan AvalonMiner 821,Feb 2018,11.5Th/s,1200W,65db,SHA-256,-$2.45/day,9583.333333333332,107
Ebang Ebit E10,Feb 2018,18Th/s,1650W,75db,SHA-256,-$3.17/day,10909.09090909091,108
Ebang Ebit E9+,Jan 2018,9Th/s,1300W,75db,SHA-256,-$2.95/day,6923.076923076923,109
Bitmain Antminer T9+,Jan 2018,10.5Th/s,1432W,76db,SHA-256,-$3.20/day,7332.402234636872,110
Pantech WX6,Jan 2018,34Th/s,5000W,72db,SHA-256,-$11.42/day,6800.0,111
Bitfily Snow Panther A1,Jan 2018,49Th/s,5400W,82db,SHA-256,-$11.25/day,9074.074074074075,112
MicroBT Whatsminer M3,Jan 2018,12Th/s,2000W,78db,SHA-256,-$4.71/day,6000.0,113
Bitfury B8,Dec 2017,49Th/s,6400W,85db,SHA-256,-$14.13/day,7656.25,114
Bitmain Antminer S9,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306,115
Pantech SX6,Sep 2017,8.5Th/s,1000W,72db,SHA-256,-$2.13/day,8500.0,116
Bitmain Antminer S9,Sep 2017,13.5Th/s,1323W,85db,SHA-256,-$2.63/day,10204.08163265306,117
Bitmain Antminer T9,Aug 2017,12.5Th/s,1576W,68db,SHA-256,-$3.44/day,7931.472081218273,118
Bitmain Antminer S9,Jul 2017,13Th/s,1300W,85db,SHA-256,-$2.60/day,10000.0,119
Bitmain Antminer T9,Apr 2017,11.5Th/s,1450W,68db,SHA-256,-$3.17/day,7931.034482758621,120
Canaan AvalonMiner 741,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522,121
Bitmain Antminer R4,Feb 2017,8.7Th/s,845W,52db,SHA-256,-$1.67/day,10295.85798816568,122
Bitmain Antminer S9,Feb 2017,12.5Th/s,1225W,85db,SHA-256,-$2.43/day,10204.08163265306,123
Bitmain Antminer S7-LN,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394,124
Bitmain Antminer S9,Jun 2016,11.5Th/s,1127W,85db,SHA-256,-$2.24/day,10204.08163265306,125
Bitmain Antminer S7,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222,126
Bitmain Antminer S5,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.6271186440677,127
Bitmain Antminer S3,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485,128
