row_index,hardware_name,hardware_index
170,Antminer S9,unknown
171,PSU,unknown
174,Antminer,unknown
175,Avalon Controller,unknown
176,Router,unknown
177,air conditioners,unknown
178,PSUs,unknown
180,Antminer S7,unknown
182,psu,unknown
183,S9,unknown
184,APW3,unknown
185,Elegiant wifi repeater,unknown
186,Antminer,unknown
187,E9+,unknown
188,psu,unknown
189,6.3T e9,unknown
190,BM's custom ARM SOC computers,unknown
191,BeagleBone,unknown
193,E9+,unknown
194,computer,unknown
195,S9,unknown
196,ebit e9 plus 9T,unknown
197,Avalon 741,unknown
198,AUC3,unknown
199,Hash Boards,unknown
200,Controller,unknown
201,Miner,unknown
202,PSU,unknown
203,Raspberry Pi,unknown
204,Pi,unknown
205,Avalon 741,unknown
206,Miners,unknown
207,Avalon 741,unknown
208,SP10,unknown
210,dedicated IP,unknown
211,S9s,unknown
212,January batch S9s,unknown
213,PSU AWS3++,unknown
214,Antminer S9,unknown
215,hash boards,unknown
216,antminer s9,unknown
219,browser,unknown
220,reset button,unknown
222,port,unknown
223,Avalon1 unit,unknown
224,PSU,unknown
225,Claymore,unknown
226,ASIC,unknown
227,power supply,unknown
228,Hashboard,unknown
229,S9 13.5t,unknown
230,Bitmain PSU,unknown
231,power supply,unknown
232,power cord,unknown
233,bitmain Power supply,unknown
234,antminer S9,115
235,s7 miner,126
236,miners,unknown
237,mining equipment,unknown
238,property,unknown
239,equipment,unknown
240,mining machinery,unknown
241,Antminer S9,115
242,Router,unknown
243,S9,115
244,hashing board,unknown
245,S9,115
246,750w PSUs,unknown
247,blade,unknown
248,PCIe connectors,unknown
249,jumper block,unknown
250,S5,127
251,socket,unknown
252,motherboard,unknown
253,ethernet,unknown
254,CPUs,unknown
255,AntMiner S9,115
256,GPUs,unknown
257,Avalon6,unknown
259,AUC adapter,unknown
260,Pi,unknown
263,S7-LN,124
264,Ethernet port,unknown
265,S7,126
266,control board,unknown
267,eyedro electricity monitor,unknown
268,C19 to 5-15 adapter,unknown
269,Nema 5-15R to c14 adapter,unknown
271,30A power strips,unknown
272,PDU,unknown
273,Bit 6,unknown
274,checksum0,unknown
275,S3,128
276,server PSU,unknown
277,Dell server supply,unknown
278,breakout boards,unknown
279,S9,115
280,Antminer s7,126
281,bitmain APW3++,unknown
282,4k breakout board kits,unknown
283,rack,unknown
284,s7,126
285,AntMiner S5,127
286,EVGA power supply,unknown
287,corsair power supplies,unknown
288,Antminer S9,115
289,ASIC boards,unknown
290,Avalon 6,unknown
291,AUC,unknown
293,laptop,unknown
294,Avalon 741,121
295,Cyberpower PDU 30A,unknown
296,1200W PSUs,unknown
297,PDU30BVHVT20F,unknown
299,Antminer s9,115
301,A6,unknown
302,Antminer S9,115
304,S4,unknown
305,Antminer,unknown
306,Antminer S9,115
307,device,unknown
308,wire cover,unknown
309,host server/computer,unknown
310,back-up heater,unknown
311,miners,unknown
312,boards,unknown
314,cgminer,unknown
315,Antminer S3,128
316,old miner,unknown
317,s9 hashboard,unknown
319,PSU,unknown
320,S9,115
321,S9,115
322,L3,unknown
323,Ebit E9+,83
324,psu,unknown
326,insulated duct,unknown
327,shrouds,unknown
328,cooler,unknown
329,Bitcoin client,unknown
330,CPU,unknown
331,CPU-core,unknown
332,serialize.h,unknown
333,ArchLinux 64bit,unknown
334,cuda cuda-3.2.16-1,unknown
335,gcc gcc-4.5.1-2,unknown
336,AMD CPUs,unknown
337,apw3,unknown
338,Bitmain 1600w power supply,unknown
339,S9,115
340,Sanyo 9GV1212P1J01,unknown
341,miner,unknown
343,Bitmain IP reporter,unknown
344,Bitmain Antminer,unknown
345,Vent tubes,unknown
346,Fan duct shrouds,unknown
347,Antminer S9,115
348,Router,unknown
349,Antminer S3+,unknown
350,Raspberry Pi,unknown
352,sub panels,unknown
353,breakers,unknown
354,panels,unknown
355,receptacles,unknown
356,Avalon 741,121
357,Asus rt-86u,unknown
359,S7,126
360,netgear,unknown
361,internet switch,unknown
362,S9,115
363,AP3 psu,unknown
364,Cgminer Version 4.8.0,unknown
365,Linux 3.8.13,unknown
366,Antminer S7,126
368,MP1484EN,unknown
369,BeagleBone Board,unknown
370,Ebit E9+,110
371,Avalon 741,121
372,antminer,unknown
373,Ebit e9+,110
374,Bitmain Antminer S7,126
375,PSUs,unknown
376,Cointerra Terraminer IV,unknown
378,CTA1,unknown
380,Antminer S7,126
381,S9,115
382,clamp,unknown
384,external SD adapter,unknown
385,tablet,unknown
386,cell phone,unknown
387,laptop,unknown
388,APW3++,unknown
389,S9,115
391,PC,unknown
392,IOGEAR Universal Ethernet to Wi-Fi N Adapter,unknown
393,laptop,unknown
394,Ethernet cords,unknown
395,IO board,unknown
396,S7,126
397,Antminer S9,115
398,Dragon Miner,unknown
399,Antminer S3,128
400,SP20 Jackson,unknown
402,Antminer s5,127
404,CT enclosure,unknown
405,poco,unknown
407,power supply,unknown
408,EVGA power supplies,unknown
409,25kva,unknown
410,200A fusible disconnects,unknown
411,200A 3R panels,unknown
412,50A outlets,unknown
413,meter can,unknown
414,Antminer S9,115
416,S9,115
417,vent tubes,unknown
418,A/C,unknown
419,processor,unknown
420,heatsink,unknown
421,antminer s4,unknown
422,paper towel,unknown
423,Chain #6 chip,unknown
424,Fan 6,unknown
425,Antminer S9,115
426,5-15p receptacles,unknown
427,S9 miner,115
428,FAR RIGHT,unknown
429,MIDDLE,unknown
430,APW3++,unknown
431,apw3+,unknown
433,741,121
434,APW5++,unknown
435,s9,115
437,AP3W++,unknown
438,PSU,unknown
439,Antminer S9,115
440,Bitmain Antminer S3,128
441,S9 Antminer,115
442,D3,unknown
443,S9,115
444,Avalon 741,121
445,Xfinity modem,unknown
447,S9 Antminer,115
448,chip,unknown
449,surge protectors,unknown
450,server PSUs,unknown
451,APW3s,unknown
452,s9,115
454,Bitmain PSU,unknown
455,Thermaltake 750W PSU,unknown
456,EVGA 1300W PSU,unknown
457,EVGA 1600W PSU,unknown
458,Antminer S9,115
459,Antminer S9,115
460,PSU,unknown
461,8kw setup,unknown
462,Antminer S9,115
463,APW3++,unknown
465,power tools,unknown
466,whatsminer m3,113
467,Amazon,unknown
468,Antminer S9,115
469,air filters,unknown
470,Antminer D3,unknown
472,Antminer S9,115
473,Antminer L3+,unknown
474,200A 3 phase panel,unknown
475,Antminer S9,115
476,wireless range booster,unknown
477,Raspberry Pi3,unknown
478,GekkoScience 2Pac,unknown
479,frontpanel 10xUSB2.0-hub,unknown
480,12 port hub,unknown
481,external power supply,unknown
482,power supply,unknown
483,raspberry pi,unknown
484,Butterfly Labs Monarch,unknown
485,BFL space heater,unknown
486,Ethernet,unknown
487,PDU,unknown
488,15A 14 AWG C14-C13 power cord,unknown
489,Antminer S9,115
490,Antminer A3,unknown
491,subpanel,unknown
492,L6-30P receptacle,unknown
493,30 amp PSU,unknown
494,Bitmain PSU,unknown
495,Antminer S7,126
497,ASIC,unknown
498,industrial miner,unknown
499,hash boards,unknown
500,Antminer S9,115
501,Antminer S9,115
502,HP server PSU,unknown
504,Avalon 741,121
506,Antminer S9,115
507,cooling system,unknown
508,Hashboard,unknown
509,Antminer S9,115
512,Antminer A6,unknown
513,APW3,unknown
514,Antminer S9,115
516,Antminer S9,115
517,Antminer S9,115
518,IP report button,unknown
519,PSU,unknown
520,Antminer S4,unknown
521,Antminer L3,unknown
522,Antminer S9,115
525,Antminer S7,126
526,Antminer S9,115
527,Hashboard 3,unknown
528,Hashboard 2,unknown
529,Hashboard 1,unknown
530,autofreq april firmware,unknown
531,Antminer S9,115
532,november 2017 firmware,unknown
533,Avalon 741,121
535,Avalon 741 Miner,121
536,Antminer S7,126
537,Bitmain APW3++,unknown
538,HP Server Power Supplies,unknown
539,APW3,unknown
540,AP3++ PSU,unknown
541,hash board,unknown
542,Antminer S9,115
543,BitmainTool app,unknown
544,Antminer S9,115
545,April firmware,unknown
546,November firmware,unknown
547,Auto tune firmware,unknown
548,Antminer S9 13.5th/s,115
549,Antminer S9,115
550,Antminer T9+,118
551,Antminer T9+,118
552,PSU,unknown
554,Antminer S9,115
555,Antminer S9,115
556,Bitmain AntMiner S1,unknown
558,inductors,unknown
560,powerline adapter,unknown
561,heatsinks,unknown
562,laptop,unknown
563,modem,unknown
564,Antminer S7,126
565,HP server PSUs,unknown
566,control board,unknown
567,platinum volt switching PSU,unknown
568,SpondooliesTech SP30,unknown
569,SpondooliesTech SP10,unknown
570,PC power supply,unknown
572,server room,unknown
573,datacenter,unknown
574,Neptune,unknown
575,computer room,unknown
576,shares,unknown
577,space heater,unknown
578,rigs,unknown
581,L3+,unknown
582,outlets,unknown
583,s9,unknown
584,cabling,unknown
585,TI AM335x BeagleBone,unknown
587,beagle bone,unknown
588,hardware version,unknown
589,S7,unknown
590,ARMv7 Processor,unknown
592,Antminer S7,124
593,Avalon 741,121
594,Ethernet switch,unknown
595,Laptop,unknown
596,Router,unknown
597,Antminer s9,unknown
598,2000w capacity power stick,unknown
599,S9,unknown
600,Windows laptop,unknown
601,S9,unknown
602,PSU,unknown
603,Cooler Master,unknown
604,S9s,unknown
605,150 amp 32 breaker box,unknown
606,Rosewill 1500W,unknown
607,C1,unknown
608,7.8 amp 1400w server PSU,unknown
609,Sorcerer's PSU,unknown
610,15 amp 1600w power supply,unknown
611,Avalons 741s,unknown
612,BFL 60,unknown
613,BFL Jalapeno,unknown
614,HEX16C,unknown
615,HEX16A2,unknown
616,HEX16A1,unknown
617,TP-Link TL-3020,unknown
618,HEX16B,unknown
619,Antminer S9,115
620,Bitmain APW3 PSU,unknown
621,December 2017 batch,unknown
622,S9,unknown
623,MG Chemicals Thermally Conductive Adhesive,unknown
624,arctic silver two part heatsink adhesive,unknown
625,30 AMP pdu,unknown
626,non-autotune version,unknown
627,L3+,unknown
628,APW3++ Bitmain power supplies,unknown
629,furnace,unknown
631,18pin,unknown
632,s7 board,unknown
633,Antminer S9,115
634,APW3++ power supply,unknown
636,cellular modem,unknown
637,laptop,unknown
638,s9,unknown
639,T9+,unknown
640,S9_12.0T,unknown
641,box internet,unknown
642,Antminer s9,unknown
643,Antminer L3+,unknown
644,Antminer S9,115
645,antminer s9,unknown
646,Antminer S9,115
648,Antminer S9,115
649,ASIC card,unknown
650,PSU,unknown
651,S9,unknown
652,antminer s9,unknown
653,AS9 14th/s miners,unknown
654,PDUs,unknown
655,powercords,unknown
656,741,unknown
657,Antminer S7,124
658,S9,unknown
660,Pangolin M3,unknown
661,Antminer S9,115
662,Antminer s9,unknown
664,Teamview,unknown
665,Awesome Miner,unknown
666,antminer S9,unknown
668,hashboards,unknown
669,miner,unknown
671,Antminer S9,115
672,30 amp power regulator,unknown
673,power supply,unknown
674,hashing boards,unknown
675,Antminer s9,unknown
676,antminer s9,unknown
677,plywood box,unknown
678,flexible pipes,unknown
679,wire shelving unit,unknown
680,Antminer S9,115
681,Antminer S9,115
683,Bitmain AW3+++ PSU,unknown
684,S9 Miners,unknown
687,whatsminer m3,unknown
688,Bitmain Antminer S9,115
689,unknown,unknown
690,unknown,unknown
691,unknown,unknown
692,unknown,unknown
693,unknown,unknown
694,unknown,unknown
696,unknown,unknown
697,unknown,unknown
699,Bitmain Antminer S9,115
702,Bitmain Antminer S9,115
703,unknown,unknown
704,unknown,unknown
706,unknown,unknown
707,Bitmain Antminer S9,115
708,unknown,unknown
709,unknown,unknown
710,unknown,unknown
712,MicroBT Whatsminer M3,113
713,Bitmain Antminer S9,115
714,unknown,unknown
715,unknown,unknown
716,Bitmain Antminer S9,115
717,unknown,unknown
719,unknown,unknown
720,unknown,unknown
721,unknown,unknown
722,Bitmain Antminer S9,115
724,unknown,unknown
725,Bitmain Antminer S9,115
727,unknown,unknown
728,Bitmain Antminer S9,115
729,unknown,unknown
730,unknown,unknown
731,unknown,unknown
732,Bitmain Antminer S9,115
733,unknown,unknown
734,unknown,unknown
735,Bitmain Antminer S9,115
736,Canaan AvalonMiner 741,121
741,unknown,unknown
742,unknown,unknown
745,Bitmain Antminer S5,127
746,Bitmain Antminer S7,126
747,unknown,unknown
748,unknown,unknown
749,unknown,unknown
751,unknown,unknown
752,Bitmain Antminer S9,115
753,unknown,unknown
754,Bitmain Antminer S9,115
755,unknown,unknown
756,unknown,unknown
757,unknown,unknown
758,unknown,unknown
759,Bitmain Antminer S1,unknown
760,Bitmain Antminer S9,115
761,Bitmain Antminer S7,126
762,unknown,unknown
764,unknown,unknown
767,Bitmain Antminer S9,115
769,unknown,unknown
770,unknown,unknown
771,unknown,unknown
772,Bitmain Antminer S5,127
773,unknown,unknown
774,unknown,unknown
775,Bitmain Antminer S9,115
777,unknown,unknown
778,Bitmain Antminer S4,unknown
779,Bitmain Antminer S5,127
780,Bitmain Antminer S3,128
781,Bitmain Antminer S9,115
782,unknown,unknown
785,unknown,unknown
786,unknown,unknown
787,Bitmain Antminer S9,115
790,unknown,unknown
791,unknown,unknown
792,Bitmain Antminer S7,126
794,Bitmain Antminer L3+,unknown
796,unknown,unknown
797,unknown,unknown
798,unknown,unknown
799,Bitmain Antminer S7,126
800,Bitmain Antminer S9,115
801,BITMAIN Antminer V9,106
803,unknown,unknown
804,Canaan AvalonMiner 741,121
805,unknown,unknown
806,unknown,unknown
807,unknown,unknown
808,unknown,unknown
809,unknown,unknown
810,unknown,unknown
811,Bitmain Antminer S9,115
813,unknown,unknown
814,unknown,unknown
815,Canaan AvalonMiner 741,121
816,Bitmain Antminer L3+,unknown
817,Antminer S9,115
818,miner,unknown
819,antminer s9,115
820,miner,unknown
821,Antminer S9,115
822,HP 1200 watt PSU,unknown
823,rpi3,unknown
824,Avalon 6,unknown
825,AUC,unknown
826,AUC3,unknown
827,Avalon 741,121
828,power supply,unknown
829,Corsair 750M,unknown
830,S9,115
831,T9+,110
832,L3,unknown
833,D3,unknown
834,Wemo Insight,unknown
835,Fibaro Smart Plug,unknown
837,Aeotec Z-stick,unknown
838,TP-Link HS110,unknown
839,Revogi smart strip,unknown
840,S9,115
841,APW3++ PSU 1600W,unknown
842,surge protector,unknown
843,bitmain APW3++ PSU,unknown
844,power supply,unknown
845,S9,115
846,S9,115
847,R4,122
848,S9,115
849,APW 3++,unknown
850,S9 miner,115
852,S7,126
854,computer,unknown
855,network cards,unknown
856,SP20,unknown
857,S5,127
858,L3,unknown
859,A3,unknown
860,Antminer S9,115
861,PSU,unknown
862,hash board,unknown
863,Antminer s9,115
864,APW3 power supply,unknown
865,Acurite weather station,unknown
866,Windows 10,unknown
867,antivirus,unknown
869,Avalon 741,121
870,antminer s9,115
871,S9,115
872,PSU,unknown
873,Internet connection,unknown
875,Avalon 741,121
877,721,unknown
878,741,121
880,S9 miner,115
883,S9,115
884,hashboard,unknown
885,ant miner s9,115
886,Erupter,unknown
887,asicminer block erupter usb,unknown
888,BFL jalapeno,unknown
889,BE,unknown
890,USBs,unknown
891,USB block erupter,unknown
892,Block Eruptors,unknown
893,10 port USB 2.0 hub,unknown
894,Blue Fury,unknown
895,USB 2.0 hub,unknown
896,USB hubs,unknown
898,Zalman 1000W,unknown
899,Corsair CX750,unknown
901,OpenWRT miner-of-doom,unknown
902,Anker hubs,unknown
903,Block Erupters,unknown
905,D3,unknown
906,Antminer s5,127
907,green hashing board,unknown
908,server supplies,unknown
910,hash boards,unknown
911,AUC3 converter,unknown
912,PSU,unknown
913,Avalon 741,121
914,antminer S9,115
915,computer,unknown
918,T9+,110
919,power supply,unknown
920,APW3++,unknown
921,Antminer s9,115
922,Miner PSUs,unknown
923,Antminer s9,115
924,Antminer s7,126
925,Transformer,unknown
926,IBM 2880 Bladecenter,unknown
927,Avalon 741,121
928,windows,unknown
929,Zadig,unknown
930,Antminer S9,115
931,miner,unknown
932,PSU,unknown
933,EBIT E10,108
934,miners,unknown
935,L3+,unknown
936,A3,unknown
937,APC XL heavy duty ups,unknown
938,APW3++ Bitmain official power supply,unknown
939,APC pure sinewave ups,unknown
940,PSU,unknown
941,Weller WES51 soldering station,unknown
942,Hobby creek helping hands holder,unknown
943,Emerson supplies,unknown
944,Deepinthemines breakout boards,unknown
945,Antminer S9,115
946,Antminer S7,126
947,APC 7863 PDU,unknown
948,3-phase 20 amp circuit,unknown
949,L21-20p male plug,unknown
950,NEMA L6-20 208v receptacles,unknown
951,NEMA L5-20R 120v receptacles,unknown
952,Bitmain AP3++ PSU,unknown
953,Antminer S9,115
955,200 amp panel,unknown
956,125 amp sub panel,unknown
957,100 amp sub panel,unknown
958,200 amp house panel,unknown
959,dual 220V 15amp receptacle,unknown
960,700M s7 boards,unknown
961,s7,126
962,Antminer s9,115
965,miners,unknown
966,laptop,unknown
967,desktop,unknown
968,PSU,unknown
969,hash board,unknown
970,broadband connection,unknown
971,AntMiner S5,127
973,Chain[6],unknown
974,Chain[7],unknown
975,Antminer S9,115
976,avalon miner,unknown
977,whole home protector,unknown
978,PC,unknown
979,s9s,115
980,m3s,unknown
981,S9,115
982,antminer s9,115
983,S9,115
984,cooler,unknown
985,thermo-switch,unknown
988,PSU,unknown
989,Antminer S9,115
991,S9,115
992,TRENDnet Powerline adapter,unknown
994,Ebang Ebit Miner E9+,83
996,Bitmain PSU,unknown
997,Antminer S4,unknown
998,microsd,unknown
999,EVGA Titanium 1600W power supply,unknown
1000,LEPA,unknown
1001,Antminer,unknown
1002,PSU,unknown
1003,Electric Stove,unknown
1004,Antminer S9,115
1005,PSU,unknown
1006,hashboards,unknown
1007,avalon miner 821,107
1008,psu,unknown
1009,Avalon Controler,unknown
1010,Avalons,unknown
1011,SDHC cards,unknown
1012,821,107
1013,Avalon AUC3,unknown
1014,Raspberry Pi 1,unknown
1015,Pi 3,unknown
1016,841,103
1017,Controller,unknown
1018,AUC3,unknown
1019,AUC2,unknown
1020,A6 miner,unknown
1021,AvalonMiner 841,103
1022,Raspberry PI,unknown
1023,zip ties,unknown
1025,GPIO circuit,unknown
1026,Antminer S9,115
1027,AvalonMiner 841,103
1028,Bitmain APW3++ power supplies,unknown
1030,AvalonMiner 841,103
1032,S9,115
1033,NEMA 6-15P outlet,unknown
1034,S9,115
1035,M3,unknown
1036,Kill-a-watt,unknown
1037,S9,115
1038,M3,unknown
1039,HP 228481-002,unknown
1040,S9 Antminer,115
1041,s-9 board,unknown
1042,portable ac units,unknown
1043,S9,115
1044,exhaust,unknown
1045,M3s,unknown
1046,filters,unknown
1047,shrouds,unknown
1048,duct work,unknown
1049,door,unknown
1050,filters,unknown
1051,flex tube,unknown
1052,S7,126
1054,miners,unknown
1055,S9,115
1056,Sorcerer PSU,unknown
1057,miners,unknown
1058,PSU's,unknown
1059,Avalons,unknown
1060,L3+,unknown
1061,S9,115
1062,miners,unknown
1063,100KW datacenter,unknown
1064,rented room,unknown
1065,soundproof box,unknown
1066,ASICs,unknown
1067,lithium battery,unknown
1068,s-3+ newest version,unknown
1069,Spondoolies SP20,unknown
1070,evga 1300g2 unit,unknown
1071,S9,115
1072,hashboard,unknown
1073,PSU,unknown
1075,HP Platinum series 1200w PSUs,unknown
1076,S9 boards,unknown
1077,antminers,unknown
1079,dryer,unknown
1080,ACs,unknown
1081,antMiner S9,115
1083,Sj brand,unknown
1085,Antminer S9,115
1086,HP1200w platinum power supply,unknown
1087,L3,unknown
1088,PSU,unknown
1089,Antminer S9,115
1090,Antminer S9,115
1091,EVGA 1600w p2,unknown
1092,Avalon miners,unknown
1094,ASIC,unknown
1095,firmware,unknown
1096,power supply,unknown
1097,miner,unknown
1099,Avalon 841,103
1100,"S9 13,5T",115
1101,S9 antminer,115
1102,miners,unknown
1103,service panel,unknown
1104,30 Amp tree-pole breakers,unknown
1105,EMT run,unknown
1106,Bitcrane T-110,unknown
1107,cubieboards,unknown
1108,power supplies,unknown
1109,Hashfast module,unknown
1110,Cooler Master Nepton 120XL,unknown
1111,AntMiner S9,115
1112,A6,unknown
1113,S9,115
1114,L3,unknown
1115,S9 Antminer,115
1117,Antminer S9,115
1118,Bitmain V9 ASIC,106
1119,Ethernet connection splitter,unknown
1120,Router,unknown
1121,Modem,unknown
1122,GPUs,unknown
1123,S5,127
1124,Antminer S9,115
1125,Miner,unknown
1126,Ethernet Cable,unknown
1127,Antminer S9,115
1128,L3,unknown
1129,PDU,unknown
1130,D3,unknown
1131,A3,unknown
1134,955,unknown
1135,Avalon 841,103
1136,960 miners,unknown
1137,Bitmain PSU,unknown
1138,Netgear 7 port gigabit switch,unknown
1139,Netgear GS316,unknown
1140,Avalon 841,103
1141,Avalon 821,107
1142,L3,unknown
1143,Antminer S9,115
1144,Netgear 10-100 switch,unknown
1145,Antminer S9,115
1146,Bitmain Antminer S9,115
1147,S9,115
1148,Antminer S9,115
1149,washable electrostatic filter,unknown
1150,150 asic server farm,unknown
1151,vents,unknown
1152,3M filters,unknown
1153,wooden shed,unknown
1155,Antminer S9,115
1157,Antminer S9,115
1158,Antminer S9,115
1159,Antminer S9,115
1160,Antminer S9,115
1161,Antminer R4,122
1162,S9,115
1163,T9+,110
1164,heatsink,unknown
1165,antminer s9,115
1166,AntMiner S9,115
1167,basement window,unknown
1168,ducts,unknown
1169,Antminer S9,115
1170,S9's,115
1171,Avalons,unknown
1172,miner,unknown
1174,laptop,unknown
1175,S9,115
1176,13Th S9,115
1177,aftermarket spare,unknown
1178,APW3++,unknown
1179,Antminer s9,115
1180,14Th units,unknown
1181,S9V2.23,unknown
1182,S9_V2.51,unknown
1183,S9,115
1184,Antminer,unknown
1185,S9,115
1188,m6 board,unknown
1190,Raspbian,unknown
1191,Antminer S9 13.5T,115
1192,Raspberry Pi,unknown
1193,switch,unknown
1194,Avalons,unknown
1195,Porsche,unknown
1196,Asic Cube,unknown
1197,USB Sticks,unknown
1198,T9+,110
1199,T9+s,110
1200,PSU,unknown
1201,Antminer T9+,110
1202,ASIC,unknown
1203,Chain 13,unknown
1204,2400W PSU,unknown
1205,Blade,unknown
1206,BFGminer,unknown
1207,s-1,unknown
1209,antminer s1,unknown
1211,nest protect smoke detector,unknown
1212,wifi enabled light switch,unknown
1213,psu,unknown
1214,ac,unknown
1215,GHASH,unknown
1216,Avalon 741,121
1218,Ledger Nano S,unknown
1219,Bitmain V9 miner,106
1220,Pi,unknown
1221,Antminers,unknown
1222,smart switches,unknown
1223,asics,unknown
1224,S9,115
1225,1600W Rosewill PSU,unknown
1226,hashboards,unknown
1228,S9,115
1229,GPUs,unknown
1230,Full Cycle Mining,unknown
1231,Antminer,unknown
1232,Antminer,unknown
1233,Layer 2 Ethernet switch,unknown
1234,Halong Mining DragonMint T1,104
1235,S9,115
1236,AMD 6990,unknown
1237,KNC,unknown
1238,Dragonmint T1,104
1239,S7,126
1240,BTC wallet,unknown
1241,antpool.com account,unknown
1242,power supply,unknown
1243,S9,115
1244,ntp,unknown
1245,bitmain,unknown
1246,Bitmain S7,126
1247,Classic Avalon Batch 3,unknown
1248,Spondoolies Rockerbox,unknown
1249,Antminer S3+,unknown
1250,PSU,unknown
1251,steel racking,unknown
1252,Delta PSU,unknown
1253,S7,126
1254,APW3 Bitmain power supply,unknown
1255,S9,115
1256,S9,115
1257,Batch 1 S9,115
1258,Xapo,unknown
1259,T9s,110
1260,wirex,unknown
1261,Slush,unknown
1262,Blades,unknown
1263,T9,118
1264,T9,118
1265,APW3++,unknown
1266,Halong Mining DragonMint T1,104
1267,F2pool,unknown
1268,Slush,unknown
1269,Bitminter,unknown
1270,Whatsminer M2,unknown
1271,Antminer S9,115
1274,metal shelving,unknown
1275,Antminer S1,unknown
1276,antminers,unknown
1278,AC units,unknown
1279,Avalon 6,unknown
1280,Antminer S9,115
1281,PSU,unknown
1282,Raspberry Pi,unknown
1284,Router,unknown
1285,S9,115
1286,T9+,110
1287,antminer s9,115
1288,bmminer,unknown
1289,Antminer S9,115
1290,Broadband connection,unknown
1291,AC,unknown
1293,water cooled miner,unknown
1294,T9+,110
1295,AC,unknown
1297,Costco,unknown
1298,Sams,unknown
1299,Restaurant Supply Depot,unknown
1300,Ace Mart,unknown
1301,Home Depot,unknown
1302,Minera,unknown
1303,antminer,unknown
1304,dedicated servers,unknown
1305,raspberry pi,unknown
1306,ASUS-DSLAC68U,unknown
1307,ethernet switch,unknown
1308,computer,unknown
1309,Avalon 821,107
1310,Avalon 841,103
1311,S9,115
1312,switch,unknown
1313,Pi,unknown
1314,AUC,unknown
1316,Antminer S9,115
