row_index,hardware_name,hardware_index,date,owned,hardware_release_date,speed,power,noise,hash,profit,Mhash/J
94,Avalon 741,121,2018-01-09 20:33:17,0.94786274433136,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
97,Antminer S9,115,2018-01-10 00:49:32,0.9725885391235352,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
106,S9,115,2018-01-10 01:43:42,0.8251647353172302,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
110,S9,115,2018-01-10 01:54:50,0.8554610013961792,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
113,Antminer S9,115,2018-01-10 01:55:13,0.8914381861686707,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
234,antminer S9,115,2018-01-17 04:57:39,0.9356619715690612,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
235,s7 miner,126,2018-01-17 05:51:16,0.9779054522514344,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
241,Antminer S9,115,2018-01-17 20:04:55,0.9395862221717834,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
243,S9,115,2018-01-17 20:44:14,0.956010639667511,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
245,S9,115,2018-01-17 22:50:11,0.92078697681427,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
250,S5,127,2018-01-17 23:54:49,0.9710714221000672,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
255,AntMiner S9,115,2018-01-18 03:47:20,0.9873643517494202,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
263,S7-LN,124,2018-01-18 23:03:43,0.8981999158859253,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
265,S7,126,2018-01-18 23:03:43,0.948654055595398,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
275,S3,128,2018-01-19 04:13:03,0.9710841178894044,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485
279,S9,115,2018-01-19 07:33:05,0.9176604151725768,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
280,Antminer s7,126,2018-01-19 09:38:30,0.8514715433120728,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
284,s7,126,2018-01-19 09:38:30,0.9754235148429872,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
285,AntMiner S5,127,2018-01-19 21:40:29,0.9912068247795104,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
288,Antminer S9,115,2018-01-19 21:42:32,0.925227165222168,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
294,Avalon 741,121,2018-01-20 06:53:01,0.9744619727134703,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
299,Antminer s9,115,2018-01-20 13:21:34,0.9443091750144958,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
302,Antminer S9,115,2018-01-20 19:01:16,0.9887162446975708,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
306,Antminer S9,115,2018-01-20 23:05:19,0.9916115403175354,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
315,Antminer S3,128,2018-01-21 10:05:53,0.8184041976928711,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485
320,S9,115,2018-01-22 06:38:28,0.9261751174926758,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
321,S9,115,2018-01-22 07:20:02,0.9964749217033386,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
323,Ebit E9+,83,2018-01-22 07:20:02,0.9920083284378052,Oct 2018,44Th/s,1980W,75db,SHA-256,-$1.84/day,22222.222222222223
339,S9,115,2018-01-22 18:32:25,0.9723209738731384,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
347,Antminer S9,115,2018-01-23 00:40:11,0.925774335861206,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
356,Avalon 741,121,2018-01-23 17:07:22,0.9807366132736206,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
359,S7,126,2018-01-23 18:43:15,0.9607637524604796,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
362,S9,115,2018-01-23 18:43:15,0.980422854423523,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
366,Antminer S7,126,2018-01-23 19:48:30,0.8272990584373474,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
370,Ebit E9+,110,2018-01-23 20:15:44,0.8011503219604492,Jan 2018,10.5Th/s,1432W,76db,SHA-256,-$3.20/day,7332.402234636872
371,Avalon 741,121,2018-01-23 21:01:52,0.9609320163726808,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
373,Ebit e9+,110,2018-01-24 07:58:03,0.9983522891998292,Jan 2018,10.5Th/s,1432W,76db,SHA-256,-$3.20/day,7332.402234636872
374,Bitmain Antminer S7,126,2018-01-24 10:20:55,0.8580517172813416,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
380,Antminer S7,126,2018-01-24 21:44:06,0.8374842405319214,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
381,S9,115,2018-01-24 23:20:29,0.8972312808036804,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
389,S9,115,2018-01-25 11:56:30,0.8765732645988464,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
396,S7,126,2018-01-26 01:46:31,0.9381343722343444,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
397,Antminer S9,115,2018-01-26 02:45:27,0.9775984287261964,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
399,Antminer S3,128,2018-01-26 19:35:24,0.997825801372528,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485
402,Antminer s5,127,2018-01-26 20:26:54,0.969973921775818,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
414,Antminer S9,115,2018-01-27 06:40:09,0.9643841981887816,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
416,S9,115,2018-01-27 12:37:30,0.9961353540420532,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
425,Antminer S9,115,2018-01-27 17:40:34,0.8557189106941223,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
427,S9 miner,115,2018-01-28 09:02:34,0.868060827255249,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
433,741,121,2018-01-28 14:09:53,0.9651921987533568,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
435,s9,115,2018-01-28 14:09:53,0.9861583113670348,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
439,Antminer S9,115,2018-01-28 16:36:36,0.8325501680374146,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
440,Bitmain Antminer S3,128,2018-01-28 19:29:16,0.9409528970718384,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485
441,S9 Antminer,115,2018-01-29 01:27:06,0.9818935394287108,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
443,S9,115,2018-01-29 20:33:51,0.9467856287956238,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
444,Avalon 741,121,2018-01-30 03:57:18,0.9773722290992736,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
447,S9 Antminer,115,2018-01-30 14:23:48,0.9892951846122742,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
452,s9,115,2018-01-30 15:55:53,0.9644908308982848,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
458,Antminer S9,115,2018-01-30 16:21:52,0.9157745838165284,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
459,Antminer S9,115,2018-01-30 16:49:04,0.98511004447937,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
462,Antminer S9,115,2018-01-30 16:49:49,0.8461995720863342,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
466,whatsminer m3,113,2018-01-31 02:54:47,0.9687474370002748,Jan 2018,12Th/s,2000W,78db,SHA-256,-$4.71/day,6000.0
468,Antminer S9,115,2018-01-31 17:55:23,0.9059618711471558,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
472,Antminer S9,115,2018-01-31 23:15:28,0.869559109210968,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
475,Antminer S9,115,2018-02-01 14:28:19,0.917582869529724,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
489,Antminer S9,115,2018-02-02 17:55:57,0.902357816696167,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
495,Antminer S7,126,2018-02-02 18:15:17,0.962183713912964,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
500,Antminer S9,115,2018-02-02 20:24:30,0.8623844981193542,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
501,Antminer S9,115,2018-02-03 02:29:39,0.8669811487197876,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
504,Avalon 741,121,2018-02-03 16:16:01,0.8712266087532043,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
506,Antminer S9,115,2018-02-03 23:12:01,0.9739389419555664,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
509,Antminer S9,115,2018-02-05 02:59:03,0.9867480993270874,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
514,Antminer S9,115,2018-02-05 17:15:12,0.9777681231498718,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
516,Antminer S9,115,2018-02-05 19:22:23,0.8864171504974365,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
517,Antminer S9,115,2018-02-05 21:25:23,0.9864267706871032,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
522,Antminer S9,115,2018-02-05 23:01:09,0.8138622045516968,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
525,Antminer S7,126,2018-02-06 02:18:08,0.9390680193901062,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
526,Antminer S9,115,2018-02-06 02:18:08,0.9788195490837096,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
531,Antminer S9,115,2018-02-06 04:10:11,0.9631670713424684,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
533,Avalon 741,121,2018-02-06 18:44:31,0.9828961491584778,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
535,Avalon 741 Miner,121,2018-02-06 21:19:19,0.9378792643547058,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
536,Antminer S7,126,2018-02-06 21:22:11,0.8479679822921753,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
542,Antminer S9,115,2018-02-07 17:12:08,0.9357480406761168,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
544,Antminer S9,115,2018-02-07 17:13:15,0.9663189649581908,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
548,Antminer S9 13.5th/s,115,2018-02-09 05:45:37,0.8874917030334473,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
549,Antminer S9,115,2018-02-09 05:45:37,0.8620139956474304,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
550,Antminer T9+,118,2018-02-09 08:47:00,0.8018982410430908,Aug 2017,12.5Th/s,1576W,68db,SHA-256,-$3.44/day,7931.472081218273
551,Antminer T9+,118,2018-02-09 08:48:42,0.9759600758552552,Aug 2017,12.5Th/s,1576W,68db,SHA-256,-$3.44/day,7931.472081218273
554,Antminer S9,115,2018-02-09 10:38:12,0.9761962890625,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
555,Antminer S9,115,2018-02-10 14:20:08,0.90855872631073,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
564,Antminer S7,126,2018-02-11 00:10:51,0.8647208213806152,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
592,Antminer S7,124,2018-02-13 02:09:55,0.970684826374054,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
593,Avalon 741,121,2018-02-13 07:23:55,0.9910308122634888,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
619,Antminer S9,115,2018-02-15 16:33:52,0.9944028258323668,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
633,Antminer S9,115,2018-02-18 01:30:03,0.8241488933563232,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
644,Antminer S9,115,2018-02-19 16:40:49,0.9872373342514038,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
646,Antminer S9,115,2018-02-20 00:38:49,0.8248645663261414,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
648,Antminer S9,115,2018-02-20 01:14:31,0.9445161819458008,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
657,Antminer S7,124,2018-02-21 20:48:45,0.9730695486068726,Jun 2016,2.7Th/s,697W,48db,SHA-256,-$1.77/day,3873.7446197991394
661,Antminer S9,115,2018-02-21 23:26:46,0.944604218006134,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
671,Antminer S9,115,2018-02-22 19:17:47,0.946764588356018,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
680,Antminer S9,115,2018-02-23 19:40:22,0.8903515934944153,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
681,Antminer S9,115,2018-02-23 21:01:39,0.9452412724494934,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
688,Bitmain Antminer S9,115,2018-02-24 04:03:21,0.971120297908783,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
699,Bitmain Antminer S9,115,2018-02-26 16:34:51,0.9267958402633668,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
702,Bitmain Antminer S9,115,2018-02-26 16:34:51,0.9672362804412842,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
707,Bitmain Antminer S9,115,2018-02-26 22:00:11,0.9781182408332824,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
712,MicroBT Whatsminer M3,113,2018-02-26 22:00:11,0.8842297196388245,Jan 2018,12Th/s,2000W,78db,SHA-256,-$4.71/day,6000.0
713,Bitmain Antminer S9,115,2018-02-27 00:59:08,0.9834877848625184,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
716,Bitmain Antminer S9,115,2018-02-27 09:34:56,0.916528344154358,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
722,Bitmain Antminer S9,115,2018-02-28 05:48:43,0.9006525874137878,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
725,Bitmain Antminer S9,115,2018-02-28 15:12:50,0.8854700922966003,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
728,Bitmain Antminer S9,115,2018-02-28 16:31:32,0.9591120481491088,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
732,Bitmain Antminer S9,115,2018-02-28 18:59:12,0.8958023190498352,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
735,Bitmain Antminer S9,115,2018-02-28 19:17:24,0.9472492337226868,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
736,Canaan AvalonMiner 741,121,2018-02-28 19:35:47,0.9723269939422609,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
745,Bitmain Antminer S5,127,2018-03-01 09:21:10,0.9538216590881348,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
746,Bitmain Antminer S7,126,2018-03-01 17:22:11,0.8810009956359863,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
752,Bitmain Antminer S9,115,2018-03-02 15:08:39,0.9489147067070008,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
754,Bitmain Antminer S9,115,2018-03-02 22:38:57,0.847332239151001,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
760,Bitmain Antminer S9,115,2018-03-03 12:45:48,0.9509422779083252,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
761,Bitmain Antminer S7,126,2018-03-03 12:45:48,0.8605647683143616,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
767,Bitmain Antminer S9,115,2018-03-04 04:47:26,0.9758400321006776,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
772,Bitmain Antminer S5,127,2018-03-06 13:58:17,0.9098991751670836,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
775,Bitmain Antminer S9,115,2018-03-06 18:28:29,0.9781437516212464,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
779,Bitmain Antminer S5,127,2018-03-06 18:28:29,0.978415071964264,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
780,Bitmain Antminer S3,128,2018-03-06 18:28:29,0.9711530208587646,Jul 2014,0.478Th/s,366W,60db,SHA-256,-$1.01/day,1306.0109289617485
781,Bitmain Antminer S9,115,2018-03-06 19:12:04,0.906927525997162,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
787,Bitmain Antminer S9,115,2018-03-06 22:43:59,0.925402581691742,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
792,Bitmain Antminer S7,126,2018-03-06 23:41:42,0.9314466714859008,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
799,Bitmain Antminer S7,126,2018-03-07 22:51:35,0.9859949946403505,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
800,Bitmain Antminer S9,115,2018-03-08 21:26:03,0.9857859015464784,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
801,BITMAIN Antminer V9,106,2018-03-08 23:05:48,0.8538910746574402,Mar 2018,4Th/s,1027W,76db,SHA-256,-$2.61/day,3894.8393378773126
804,Canaan AvalonMiner 741,121,2018-03-09 01:18:32,0.9823448657989502,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
811,Bitmain Antminer S9,115,2018-03-09 20:02:20,0.8977828025817871,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
815,Canaan AvalonMiner 741,121,2018-03-10 01:06:59,0.8209620118141174,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
817,Antminer S9,115,2018-03-10 14:52:52,0.9853357672691344,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
819,antminer s9,115,2018-03-10 19:27:59,0.9902668595314026,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
821,Antminer S9,115,2018-03-10 21:11:21,0.9888898134231568,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
827,Avalon 741,121,2018-03-11 19:50:09,0.932542324066162,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
830,S9,115,2018-03-12 06:37:05,0.8297144174575806,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
831,T9+,110,2018-03-12 06:37:05,0.907968282699585,Jan 2018,10.5Th/s,1432W,76db,SHA-256,-$3.20/day,7332.402234636872
840,S9,115,2018-03-12 13:14:22,0.9251173734664916,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
845,S9,115,2018-03-12 18:52:55,0.9464691281318665,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
846,S9,115,2018-03-13 18:31:35,0.9293354153633118,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
847,R4,122,2018-03-13 18:31:35,0.8903061747550964,Feb 2017,8.7Th/s,845W,52db,SHA-256,-$1.67/day,10295.85798816568
848,S9,115,2018-03-13 18:38:16,0.9554834961891174,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
850,S9 miner,115,2018-03-14 01:28:09,0.8836643695831299,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
852,S7,126,2018-03-14 02:04:43,0.8293589949607849,Sep 2015,4.73Th/s,1293W,62db,SHA-256,-$3.31/day,3658.15931941222
857,S5,127,2018-03-14 02:04:43,0.9982684850692748,Dec 2014,1.155Th/s,590W,65db,SHA-256,-$1.60/day,1957.627118644068
860,Antminer S9,115,2018-03-14 03:19:18,0.8888351321220398,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
863,Antminer s9,115,2018-03-14 06:57:46,0.9276134371757508,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
869,Avalon 741,121,2018-03-14 13:11:18,0.9956153631210328,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
870,antminer s9,115,2018-03-15 16:10:49,0.9351792931556702,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
871,S9,115,2018-03-16 19:17:26,0.9548283219337464,Nov 2017,14Th/s,1372W,85db,SHA-256,-$2.72/day,10204.08163265306
875,Avalon 741,121,2018-03-16 20:06:36,0.8845595121383667,Apr 2017,7.3Th/s,1150W,65db,SHA-256,-$2.67/day,6347.826086956522
