date,hardware_name,hardware_price
2011-07-04,ufasoft bulit in,unknown price
2011-07-13,5830,$800
2011-07-13,5830,unknown price
2011-07-13,5830,unknown price
2011-07-15,Maxeler Technologies,unknown price
2011-07-15,LinuxCoin,unknown price
2011-07-17,6970,unknown price
2011-08-04,5830,unknown price
2011-10-20,ASICs,unknown price
2011-10-20,FPGAs,unknown price
2011-12-21,Custom FPGA Mining Board: X6000/X6500,unknown price
2011-12-29,cgminer,unknown price
2012-02-05,cgminer 7970,unknown price
2012-02-07,cgminer,unknown price
2012-03-02,5970,unknown price
2012-03-10,Cooler Master Power Supply,unknown price
2012-03-10,5870,unknown price
2012-04-03,BFL Singles,unknown price
2012-04-03,Rig,unknown price
2012-04-03,HD 5970s,unknown price
2012-04-21,x6500 fpga,$580
2012-04-21,x6500,107 BTC
2012-05-13,BeagleBone,$89
2012-05-23,BitForce,unknown price
2012-05-28,ATI 3800,unknown price
2012-05-28,ATI 3870x2,unknown price
2012-06-13,BTCMiner,unknown price
2012-06-18,bemicro,unknown price
2012-06-21,ZTEX boards,unknown price
2012-06-25,2 6850's,unknown price
2012-06-25,5830,unknown price
2012-07-14,BitForce Jalapeno,$150
2012-07-25,5830,unknown price
2012-07-25,5770,unknown price
2012-07-25,5850,unknown price
2012-07-25,Radeon 5970,unknown price
2012-09-11,cgminer,unknown price
2012-09-11,BFL Single,unknown price
2012-09-11,mod miner quad,unknown price
2012-09-11,FPGAs,unknown price
2012-09-27,Alienware M17xr2 laptop,unknown price
2012-09-27,5870m,unknown price
2012-10-29,DD-WRT router,unknown price
2012-10-29,Ztex boards,unknown price
2012-12-17,single sc,unknown price
2012-12-31,5830,unknown price
2012-12-31,6950,unknown price
2012-12-31,pentium 4 pc,unknown price
2012-12-31,6970,unknown price
2013-01-18,5850,unknown price
2013-01-31,Avlon,unknown price
2013-02-01,Avalon,unknown price
2013-02-01,BFL,unknown price
2013-02-02,Icarus FPGA,26 BTC
2013-02-06,BFL Announcement Trolling Museum #2,unknown price
2013-02-07,Avalon,unknown price
2013-02-07,BFL,unknown price
2013-02-13,5970,unknown price
2013-02-15,Gigabyte GV-R797OC-3GD,unknown price
2013-03-25,AVALON,$75 and $101
2013-03-25,Avalon ASIC,unknown price
2013-03-26,Avalon,unknown price
2013-03-26,Avalon,unknown price
2013-03-28,BFGMiner,unknown price
2013-03-31,Avalon ASIC Batch 3,unknown price
2013-04-02,6950,unknown price
2013-04-02,6870,$80
2013-04-12,BFL ASIC,unknown price
2013-04-12,BFL 5 gh/s units,$275
2013-04-14,25 GH/s ASIC miner,"$2,000"
2013-04-15,Avalon ASIC,$1200
2013-04-15,ztex 1.15x FGPA,$200
2013-04-20,Avalon ASIC,unknown price
2013-04-25,BitMinter miner,unknown price
2013-04-25,BFL and Icarus FPGAs,unknown price
2013-04-27,Avalon ASICs,unknown price
2013-04-27,Avalon ASICs,807.1501152800002 BTC
2013-04-28,Avalon ASICs,unknown price
2013-04-29,Avalon ASIC chips,unknown price
2013-05-02,poclbm,unknown price
2013-05-02,AMD Radeon HD 6750M,unknown price
2013-05-10,Dragon Bitcoin / Litecoin Mining Rig,unknown price
2013-05-13,Ztex 1.15y,$599
2013-05-15,Avalon ASIC Chips,unknown price
2013-05-17,ASICMiner,unknown price
2013-05-17,Avalon ASIC,unknown price
2013-05-17,BFL,unknown price
2013-05-17,ASIC,unknown price
2013-05-18,Avalon ASIC Chips,unknown price
2013-05-19,Avalon Chips,0.079 BTC
2013-05-20,6950s,unknown price
2013-05-22,Sapphire 7950 Vapor X,$320
2013-05-24,Avalon ASIC Chips,unknown price
2013-05-27,bfl's FPGA,unknown price
2013-05-30,ATI cards,unknown price
2013-05-30,ASICMiner Erupter USB,$2.03636
2013-05-30,ASICMiner Erupter USB,$2.03636
2013-05-31,Sapphire 7950,unknown price
2013-06-05,Block Erupter USB,unknown price
2013-06-06,Butterfly Labs Jalapeno,unknown price
2013-06-06,Bitfury-Metabank ASIC 120 Gh/s,$5000
2013-06-06,Klondike,4.5 Ghz
2013-06-07,KNCMiner,0.5 BTC shares
2013-06-08,AVALON CHIPs,0.082BTC
2013-06-08,Bitmine,unknown price
2013-06-08,AsicMiner,unknown price
2013-06-08,Avalon,unknown price
2013-06-08,BFL Asic,unknown price
2013-06-08,K16 Miner Assembly,60EUR
2013-06-09,Jupiter KNCMiner,0.5 BTC shares
2013-06-10,KNCminer Jupiter,2.3 BTC
2013-06-10,Jupiter KNCMiner,0.5 BTC shares
2013-06-12,KNCminer Jupiter,20.7
2013-06-12,K16 miner from 40 EUR,unknown price
2013-06-12,Avalon chips,unknown price
2013-06-13,K16 Miner Assembly,60EUR
2013-06-13,AVALON CHIPs,0.082BTC
2013-06-13,ASICMiner Erupter USB,$2.04236
2013-06-15,ASICMiner Erupter USB,2.04236 btc
2013-06-15,K16 miner from 40 EUR,unknown price
2013-06-15,Avalon chips,unknown price
2013-06-16,Avalon chips,unknown price
2013-06-16,K16 miner from 40 EUR,unknown price
2013-06-16,K16 miner from 40 EUR,unknown price
2013-06-16,Bitfury ASIC,unknown price
2013-06-16,Avalon chips,unknown price
2013-06-16,Block Erupter USB,unknown price
2013-06-19,Terrahash DX,1 BTC per share
2013-06-20,BFL 4 GH/s Chips,0.65 BTC
2013-06-22,BFL Single SC Power Brick,unknown price
2013-06-22,Avalon ASIC chips,unknown price
2013-06-23,KNC SATURN,175 GHs Miner
2013-06-24,KNCMiner,unknown price
2013-06-24,BFL 4 GH/s Chips,.57 btc per chip
2013-06-24,Spieder 8 Chips,4.56 BTC
2013-06-26,KNC Miner Saturn,4 Btc
2013-06-27,Avalon Chip,unknown price
2013-06-27,XFX 6770,unknown price
2013-06-28,Jupiter KNCMiner,unknown price
2013-06-29,KNCMiner,unknown price
2013-07-01,ASICMINER USB Block Erupter,unknown price
2013-07-02,KNCMiner,unknown price
2013-07-02,ASICMiner Erupter USB,1.01618 ea.
2013-07-03,BFL asic,unknown price
2013-07-04,K16 Miner Assembly,60EUR
2013-07-04,BFL(BitPay),75$
2013-07-04,AVALON CHIPs,0.082BTC
2013-07-05,K16 from 40 EUR,unknown price
2013-07-05,Avalon Chips,0.081 BTC
2013-07-05,Avalon chips,unknown price
2013-07-05,Avalon reference design from BitSyncom,unknown price
2013-07-06,KnC,unknown price
2013-07-06,BITFURY group buy,unknown price
2013-07-07,KNC Jupiter,$7k
2013-07-08,Avalon,unknown price
2013-07-09,ASICMiner USB,0.99 BTC
2013-07-10,ASICMiner Erupter USB,1.01693878 ea.
2013-07-12,BFL ASIC Chips,$59/chip
2013-07-13,USB Erupters,0.89BTC
2013-07-14,2 KnC Jupiter 400Gh/s,1BTC/share
2013-07-15,ASICMiner Erupter USB,unknown price
2013-07-18,BITFURY hosting,1btc= 3 GH/s
2013-07-21,ASICMiner Erupter USB,$0.95 per device
2013-07-21,Block Erupter USB,BTC1.15
2013-07-23,ASICMINER USB Block Erupter,BTC1.15
2013-07-25,USB Asic miners,0.95 BTC
2013-07-28,ASICMINER,unknown price
2013-07-28,KNC,unknown price
2013-07-29,minirigs,unknown price
2013-07-29,Avalon,unknown price
2013-07-29,Avalon K1,unknown price
2013-07-29,Avalon B3 4 module,unknown price
2013-07-29,Bitfury,unknown price
2013-07-29,AsicMiner's USB,unknown price
2013-07-29,USBs,unknown price
2013-07-29,AM blades,unknown price
2013-07-29,Bicknellski K1 Nano,$65
2013-07-29,BFL jalapenos,unknown price
2013-07-29,BitburnersXX,4BTC
2013-07-29,singles,unknown price
2013-07-30,BFL,"$27,5/chip"
2013-07-31,Bitfury 400gh,unknown price
2013-08-01,BFL ASIC Group Buy #2,unknown price
2013-08-02,ASICminer Block Erupter USB,$58
2013-08-02,ASICMiner Erupter USB,.41 to .55 btc
2013-08-03,USB ASICs,$20
2013-08-07,block erupters,unknown price
2013-08-08,Bitfury ASIC Chips,unknown price
2013-08-08,Avalon Reselling and Hosting Plan,unknown price
2013-08-09,ASICminer Block Erupter USB,$58
2013-08-10,ASICMINER Erupter USB Miner,0.35 BTC
2013-08-11,ASICminer Erupter USB,$45
2013-08-12,Kncminer,1.475 BTC
2013-08-12,ASICMiner USB Block Erupters,0.10 btc
2013-08-13,HashFast Shares,1.65 btc
2013-08-15,HashFast Shares,฿1.65
2013-08-15,block erupters,unknown price
2013-08-16,Block Erupter USB,unknown price
2013-08-16,Baby Jet,unknown price
2013-08-16,HASHFAST 400GH/s,unknown price
2013-08-18,USB block erupters,1k
2013-08-18,block erupters,unknown price
2013-08-19,ASIC Miner Usb miners,unknown price
2013-08-19,ASICminer Erupter USB,$42.50
2013-08-19,Blades,unknown price
2013-08-19,batch #22/23,unknown price
2013-08-19,ASICminer Erupter USB,$42.50
2013-08-19,HashFast,unknown price
2013-08-20,Monarch,unknown price
2013-08-27,hashfast baby jet,0.75BTC
2013-08-27,ASICMiner USB Block Erupters,0.57 BTC
2013-08-28,Erupter USB,30BTC
2013-08-28,ASICMINER Blade Miner,10.24 BTC
2013-08-29,Alydian,unknown price
2013-08-29,BITFURY Chips,unknown price
2013-08-29,Cointerra Shares,฿4.5
2013-08-29,DRILLBIT SYSTEM mining assembly,unknown price
2013-09-01,butterfly labs jalapeno,$250-300
2013-09-03,USB block erupters,unknown price
2013-09-03,ASICMINER's,unknown price
2013-09-05,Avalon ASIC Chips,unknown price
2013-09-06,ASICs,unknown price
2013-09-06,GPUs,unknown price
2013-09-08,HP Superdome SX2000 Itanium 2,2k euros
2013-09-08,BitFury Asic Units,unknown price
2013-09-09,Cointerra Shares,฿2
2013-09-09,GPUs,unknown price
2013-09-09,CPUs,unknown price
2013-09-10,Single efficient machine (20GH),$10-13/GH
2013-09-10,ASICminer Erupter GB#7,$595
2013-09-11,HashBug development board,$6-$7
2013-09-11,ASICMiner blades,4BTC
2013-09-13,GB BabyJet batch #2,unknown price
2013-09-15,KnCMiner,unknown price
2013-09-15,BitFury,unknown price
2013-09-16,ASICMiner USB,.13 BTC
2013-09-17,Bitmine,unknown price
2013-09-17,Cointerra,unknown price
2013-09-17,CoinCraft Desk,unknown price
2013-09-18,ASICMiner Block Erupters,.13 BTC
2013-09-19,HashFast,$150 per at-cost share
2013-09-20,"BPMC ""RED FURY"" USB MINERS",0.83 - 0.9 BTC
2013-09-22,HashFast,unknown price
2013-09-22,RedFury USB miner 2.2 - 2.7 GH/s,0.87 BTC
2013-09-22,AM Erupters,unknown price
2013-09-22,HashFast Sierra,unknown price
2013-09-22,HashFast Flash Sale,At-Cost +Host
2013-09-22,VMC Board,unknown price
2013-09-23,HashFast Sierra,"$6,000"
2013-09-23,ZTEX project ZtexBTCMiner-120703,unknown price
2013-09-23,Bitfury miner,unknown price
2013-09-24,HashFast Sierra,$69
2013-09-24,Cointerra Terraminer IV,1.5 BTC
2013-09-24,Sierra,unknown price
2013-09-24,Hash Fast Baby Jet,0.1BTC
2013-09-24,GB HashFast unit,unknown price
2013-09-24,Blades,3.85BTC
2013-09-24,Block Erupter USB,0.155BTC
2013-09-26,CointerraII,unknown price
2013-09-26,Bitmine Coincraft,unknown price
2013-09-26,KnC,unknown price
2013-09-27,ASICMiner Block Erupters,.125 BTC
2013-09-28,"BPMC ""BLUE FURY"" 2.7 GH/s USB MINER",unknown price
2013-09-28,DZ HF R2 Baby Jet,$43
2013-09-30,KnCMiner Saturn,1.05BTC
2013-10-01,TerraMiner IV,"$6,299"
2013-10-01,KnC Jupiter,$57* in BTC
2013-10-02,HashFast Shares,฿1.2
2013-10-02,Blade Miners,3.0 BTC
2013-10-07,KnC Jupiter,$78 ea.
2013-10-09,HashFast Sierra,$120 USD
2013-10-09,BitSafe Wallet,unknown price
2013-10-10,HashFast Baby Jet,$43
2013-10-10,Avalon,unknown price
2013-10-10,"BPMC ""BLUE FURY"" 2.7 GH/s USB MINER",0.9 BTC
2013-10-10,Bitmine Rig,$70=8GH/s
2013-10-10,Avalon,unknown price
2013-10-12,R1B,unknown price
2013-10-13,Bitmine Rig,$70
2013-10-13,Terraminer IV,1.6 BTC
2013-10-14,"BPMC ""BLUE FURY"" 2.7 GH/s USB MINER",unknown price
2013-10-16,BPMC BLUEFURY USB Miner,$139
2013-10-17,R5 KnC Jupiter,unknown price
2013-10-17,Black Arrow rig(s),unknown price
2013-10-19,KnC Jupiter,$78 ea.
2013-10-21,ASICMiner Blades,1.90 BTC
2013-10-23,Bitmine Rig,$60
2013-10-24,KnC Jupiter,$78
2013-10-27,R11,$123
2013-10-28,BLACK ARROW Bullet Run,$123
2013-11-01,R11,$123
2013-11-01,USB Miners,0.035 BTC
2013-11-03,Avalon,$6000
2013-11-03,KNC Jupiter,$5000
2013-11-04,batch #32/31,unknown price
2013-11-04,50 USBs + 49-port hub,1.1 btc/Blade
2013-11-05,RED FURY,0.49BTC
2013-11-07,Backplanes,0.50 BTC
2013-11-07,Blade Miners,0.80 BTC
2013-11-07,Avalon Gen. 2 Chips,unknown price
2013-11-07,USB Miners,0.80 BTC
2013-11-09,Cointerra Terraminer IV,฿1.5 = 50GH/s
2013-11-10,Terraminer IV,0.7 BTC
2013-11-11,Group Buy #21 backplanes,0.25btc each
2013-11-11,$1.80,unknown price
2013-11-11,$17.50,unknown price
2013-11-11,$5.82,unknown price
2013-11-11,blades,sale
2013-11-11,USB miners,sale
2013-11-11,Intl. Robocoin GB ATM Launch in EU,unknown price
2013-11-11,N America,unknown price
2013-11-11,Feb '14,$123
2013-11-11,Blue Fury USB Miner,$10.74
2013-11-11,$0.90,unknown price
2013-11-11,USB hubs,0.40btc each
2013-11-12,RED FURY,.39 BTC
2013-11-12,RED FURY,.32 BTC
2013-11-12,RED FURY,.35 BTC
2013-11-15,KnC Jupiter,$78
2013-11-16,ASICMiner 49 port hubs,.35 BTC
2013-11-16,Blade backplanes,.25 BTC
2013-11-16,batch #32/31,0.65 btc per Blade
2013-11-17,Plesk,0.49 btc
2013-11-17,14 USB,0.035 btc
2013-11-17,Blade miners,1.1 btc
2013-11-18,ASICMINER ERUPTER USB MINER,0.99 BTC
2013-11-26,R19X KnC Neptune,$225/100 Shares
2013-11-26,BFL 4 GH/s Chips,.06 btc per chip
2013-11-26,KnCMiner Neptune,฿.25=20GH/s
2013-11-30,CoinTerra ASIC,unknown price
2013-11-30,BFL SC single,unknown price
2013-11-30,KnC,unknown price
2013-12-02,ASIC USB miner,$50
2013-12-03,AsicMiner Blade and Cube Miners,unknown price
2013-12-03,Bitmain AntMiner S1,unknown price
2013-12-04,Block Erupters,unknown price
2013-12-05,KnCMiner Neptune,$135
2013-12-05,KnCMiner Neptune,$160
2013-12-06,2X NEPTUNE #1,0.05 B/Share
2013-12-06,KNC Jupiter,unknown price
2013-12-08,BFL singles,unknown price
2013-12-08,Bitfury 8board rig,unknown price
2013-12-09,KnC Neptune,unknown price
2013-12-10,Bitmain AntMiner S1,8.5 BTC
2013-12-11,Cubes,1.0 btc
2013-12-12,2 KnC Jupiters,$125
2013-12-13,Neptune,$160
2013-12-13,KnC Neptune,0.05 B/Sh
2013-12-13,KNC Neptune,.55 Per share
2013-12-13,Black Arrow Prospero X-3,$130
2013-12-15,Terraminer IV,0.4 BTC
2013-12-17,BitMine CoinCraft,0.008B/Sh
2013-12-19,KNC Neptune,.55 Per share
2013-12-20,BitMine CoinCraft,0.008B/Sh
2013-12-21,BitMine CoinCraft,0.008B/Sh
2013-12-21,KNC Neptune,.6
2013-12-22,Cointerra,unknown price
2013-12-27,Bitmain Antminer U1 USB Erupter,unknown price
2013-12-27,Bitmain Antminer U1 USB Erupter,0.066BTC
2013-12-27,Bitfury USB,unknown price
2013-12-28,Avalon 200Gh/s - 1.2Th/s,unknown price
2013-12-29,CUBE,.85 btc per CUBE
2014-01-05,Bitfury Bare Chips,$50-$60
2014-01-05,KnCMiner Neptune,unknown price
2014-01-05,U1 antminer USB sticks,0.07 - 0.08 per unit
2014-01-07,Sapphire 7950s,unknown price
2014-01-07,KNC Neptune,$10000
2014-01-07,Corsair CX750 PSUs,unknown price
2014-01-07,Black Arrow Prospero x3,$6000
2014-01-07,Avalon Mini Rig,unknown price
2014-01-08,ANTMINERs,.35BTC
2014-01-08,AVALON GEN2,2.45BTC
2014-01-08,BTMine v1 Miner 200GH/s,BTC 2.2
2014-01-09,RED FURY 2.5 GIGASH,unknown price
2014-01-10,KNC Neptunes,0.50 BTC per share
2014-01-11,Netpune,unknown price
2014-01-11,ANTs,unknown price
2014-01-13,Jally connector,unknown price
2014-01-13,WD My Net Switch - 8 Port Gigabit Network Switch,$28.99
2014-01-13,5ft Cat6 Snagless Ethernet Cable,unknown price
2014-01-13,ARCTIC B,unknown price
2014-01-13,Anker hubs,unknown price
2014-01-13,10 port powered USB 2.0 hub,$14.99
2014-01-13,100FT CAT6 Network Cable,unknown price
2014-01-13,industrial usb hubs,unknown price
2014-01-13,Rosewill RHB-500 usb hub,unknown price
2014-01-13,TL-SG1005D 5-Port Gigabit Switch,unknown price
2014-01-13,50FT Cat6 Network Cable,unknown price
2014-01-13,Live Unicorn 1HP bitcoin miner,unknown price
2014-01-14,Avalon 1.2Th/s,unknown price
2014-01-14,Professional quality USB hubs,USB bitcoin miners
2014-01-14,ANTMINER U1,0.0775btc/0.0725 Btc
2014-01-14,Avalon 200Gh/s,unknown price
2014-01-15,CGMiner,unknown price
2014-01-15,P2Pool,unknown price
2014-01-17,<link> Labs,unknown price
2014-01-17,Raedon 7970 cards,unknown price
2014-01-17,<link> Bitcoim Asic 100 GH/s,unknown price
2014-01-17,550 GH/s asic machines,unknown price
2014-01-21,AntMiner U1,45 BTC
2014-01-21,AntMiner U1,0.09BTC
2014-01-21,KNC November Saturn,unknown price
2014-01-24,for,unknown price
2014-01-24,BFL,unknown price
2014-01-26,ASICMiner Cubes,0.50 BTC
2014-01-27,TerraMinerIV,$2.9usd a share
2014-01-28,Red Fury bitcoin miner 2.2~2.7 GH/s,unknown price
2014-01-28,ASICMiner Cube,0.50 btc
2014-01-28,ASICMiner Block Erupter USB 336MH/s Sapphire Miners,unknown price
2014-01-28,Bitmain Antminer U1 USB Block Erupter 1.6Gh/s,unknown price
2014-01-30,Doc's Instant Hash R1,0.1BTC
2014-01-31,Avalon miner,2000 USD
2014-02-05,Magma backplane boards,$250
2014-02-05,Asus boards,unknown price
2014-02-05,MSI 890FXA,unknown price
2014-02-05,5970,unknown price
2014-02-05,Avalon miner,1800 USD
2014-02-05,7xxx,unknown price
2014-02-10,Antminer S1,1.45 BTC
2014-02-11,Dualminer USB ASIC sha/scrypt miner,$85
2014-02-12,Antminer S1,1.45 BTC
2014-02-12,Antminer S1,1.45 BTC
2014-02-17,Avalon mining machine,1.5 BTC
2014-02-21,BitFury StarterKit,6500
2014-02-24,TerraMiner IV 3,unknown price
2014-02-24,TerraMiner IV 2,unknown price
2014-02-24,TerraMiner IV,unknown price
2014-02-25,Nvidia GeForce GTX 275,unknown price
2014-02-25,Nvidia GeForce GTX 580,unknown price
2014-02-27,CoinTerra,0.75 BTC
2014-02-27,CoinTerra,0.35BTC
2014-02-27,CoinTerra,0.6 BTC
2014-02-28,Bitmine CoinCraft,42.5BTC/THps
2014-03-01,Fury's miner,0.009BTC
2014-03-02,TerraMiner IV,unknown price
2014-03-05,1,unknown price
2014-03-05,Gridseed Dual Asic,1
2014-03-05,2,unknown price
2014-03-05,10,unknown price
2014-03-05,10,unknown price
2014-03-05,1,unknown price
2014-03-05,2,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-05,2,unknown price
2014-03-05,1,unknown price
2014-03-05,2,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-05,10,unknown price
2014-03-05,2,unknown price
2014-03-05,1,unknown price
2014-03-05,2,unknown price
2014-03-05,2,unknown price
2014-03-05,2,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-05,LA1THS Bitcoin miner,unknown price
2014-03-05,10,unknown price
2014-03-05,1,unknown price
2014-03-05,10,unknown price
2014-03-05,2,unknown price
2014-03-05,GRIDSEED MINER,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-05,1,unknown price
2014-03-07,antminer asics,$4 per gh
2014-03-07,Antminer,unknown price
2014-03-09,Asicminer USBs,unknown price
2014-03-09,Antminer U1,unknown price
2014-03-09,Antminer U2,unknown price
2014-03-10,Gridseed Asics,$225
2014-03-11,Gridseed USB miner,$190
2014-03-12,antminer from bitmaintech,unknown price
2014-03-12,hex miner 15 Gigahashes USB Stick,unknown price
2014-03-13,CoinTerra,unknown price
2014-03-13,TerraHash.com,unknown price
2014-03-13,Gridseed 5-chips USB miner,$259
2014-03-13,Phoenix,unknown price
2014-03-13,1T28nm colorbit,factory price of $3250
2014-03-13,Bitmaintech.com,unknown price
2014-03-13,JT miner,unknown price
2014-03-13,Scrypt ASIC Gridseeds,$230 per unit
2014-03-13,Ant,unknown price
2014-03-15,Gridseed,$165USD
2014-03-15,S1 AntMiners,unknown price
2014-03-15,Avalon,unknown price
2014-03-16,Gridseed Asics,$225
2014-03-17,Gridseed,190$/unit or 150$ with hosting
2014-03-19,Gridseed 5 Chip,$187
2014-03-19,Gridseed 5-Chip USB Miner,unknown price
2014-03-21,Wasp,unknown price
2014-03-21,Antminer,unknown price
2014-03-25,Bitfury Bare Chips,"$15,000"
2014-03-25,AntMiner S1,0.005 BTC per Share
2014-03-28,1THs 1.1kW 28nm,$3500
2014-03-29,Dualminer USB ASIC scrypt miner,$45
2014-03-29,IceDrill,unknown price
2014-03-29,MPP,unknown price
2014-03-29,evo,unknown price
2014-04-01,GPUs,unknown price
2014-04-02,1TH-miner,unknown price
2014-04-04,Gridseed 5-Chip USB Miner,unknown price
2014-04-05,Bitmine rig,unknown price
2014-04-05,KNCminer Neptunes,unknown price
2014-04-05,Alpha Viper Scrypt rigs,unknown price
2014-04-07,1T Dragon Miner,unknown price
2014-04-10,GRIDSEED,$165
2014-04-10,Antminer,unknown price
2014-04-14,Jupiter KNCMiner,0.5 BTC
2014-04-14,GRIDSEED,115$
2014-04-16,KnC N3PTUNE,60$
2014-04-16,ANTMINER S1,unknown price
2014-04-17,OPEN GRIDSEED miner,unknown price
2014-04-18,1TH Bitmine,2500 USD
2014-04-18,SP30 Yukon,"$6,000USD"
2014-04-19,ANTMINER U2,$0.0385
2014-04-20,Spondoolies-tech SP10,$3600
2014-04-22,GRIDSEED,115$
2014-04-23,Sun Fire V880,unknown price
2014-04-27,R9 290,unknown price
2014-04-27,Klondike,unknown price
2014-04-27,BFL,unknown price
2014-04-29,NinjaGRP#7 800GH Rackmount Avalon3 Miner,$2700
2014-04-29,Ninja Group Buy #3 Hosted,$7.50/GH
2014-05-03,Antminer U2 2Gh/s USB miner,unknown price
2014-05-03,AMD ATI Radeon 6300M,unknown price
2014-05-05,Monarch,"$8,519.00"
2014-05-06,Bitmain S2,unknown price
2014-05-06,Cointerra,unknown price
2014-05-06,Dragon,unknown price
2014-05-08,Avalon miner,$1950
2014-05-11,Technobit HEX8A1,389/807 EUR
2014-05-12,Gridseed USB,$119
2014-05-12,BLADE,$950
2014-05-14,Antminer s1,unknown price
2014-05-19,bitcoin client exe,unknown price
2014-05-19,GUIMiner,unknown price
2014-05-20,Antminer S2,$1650
2014-05-20,Dragon Miner,unknown price
2014-05-20,Antminer S-1,unknown price
2014-05-22,Antminer S2,$1650
2014-05-23,A1 Coincraft,"$4,500"
2014-05-23,Antminer S2,"$2,200"
2014-05-23,Antminer S2,"$1,800"
2014-05-23,Antminer S2,"$5,800"
2014-05-23,Spondoolies Tech SP10,"$2,900"
2014-05-23,A1 Coincraft,"$1,500"
2014-05-26,Ant Miner,unknown price
2014-05-27,Antminer S2,.051 per 10 GH/s
2014-06-03,VMC bitcoin miner,unknown price
2014-06-04,Corsair CX750M,$129.99
2014-06-05,SP-Tech SP15,$2800
2014-06-06,ASIC chip,unknown price
2014-06-09,Rockminer R-BOX,.10 btc
2014-06-15,Antminer U2,unknown price
2014-06-15,Gridseed,unknown price
2014-06-16,SP30,$4000
2014-06-16,Avalon chips,unknown price
2014-06-16,asic antminer s1,unknown price
2014-06-17,Rockminer R-Box,unknown price
2014-06-25,Avalon3 Single Module-290,unknown price
2014-07-02,A2 90MH,unknown price
2014-07-02,Silver Fish 28MH,$2450
2014-07-02,1TH Dragon,$2450
2014-07-02,A2 mini,unknown price
2014-07-04,Gridseed G-Black,unknown price
2014-07-04,Gridseed A1,"$1,600"
2014-07-07,Bitmain S1 Antminer,unknown price
2014-07-07,USB Asic miner,unknown price
2014-07-07,Titan,unknown price
2014-07-07,ScalaMiner 0.x beta,unknown price
2014-07-07,Neptune,$10k
