row_index,hardware_name
232,power cord
233,bitmain Power supply
234,antminer S9
235,s7 miner
236,miners
237,mining equipment
238,property
239,equipment
240,mining machinery
241,Antminer S9
242,Router
243,S9
244,hashing board
245,S9
246,750w PSUs
247,blade
248,PCIe connectors
249,jumper block
250,S5
251,socket
252,motherboard
253,ethernet
254,CPUs
255,AntMiner S9
256,GPUs
257,Avalon6
259,AUC adapter
260,Pi
263,S7-LN
264,Ethernet port
265,S7
266,control board
267,eyedro electricity monitor
268,C19 to 5-15 adapter
269,Nema 5-15R to c14 adapter
271,30A power strips
272,PDU
273,Bit 6
274,checksum0
275,S3
276,server PSU
277,Dell server supply
278,breakout boards
279,S9
280,Antminer s7
281,bitmain APW3++
282,4k breakout board kits
283,rack
284,s7
285,AntMiner S5
286,EVGA power supply
287,corsair power supplies
288,Antminer S9
289,ASIC boards
290,Avalon 6
291,AUC
293,laptop
294,Avalon 741
295,Cyberpower PDU 30A
296,1200W PSUs
297,PDU30BVHVT20F
299,Antminer s9
301,A6
302,Antminer S9
304,S4
305,Antminer
306,Antminer S9
307,device
308,wire cover
309,host server/computer
310,back-up heater
311,miners
312,boards
314,cgminer
315,Antminer S3
316,old miner
317,s9 hashboard
319,PSU
320,S9
321,S9
322,L3
323,Ebit E9+
324,psu
326,insulated duct
327,shrouds
328,cooler
329,Bitcoin client
330,CPU
331,CPU-core
332,serialize.h
333,ArchLinux 64bit
334,cuda cuda-3.2.16-1
335,gcc gcc-4.5.1-2
336,AMD CPUs
337,apw3
338,Bitmain 1600w power supply
339,S9
340,Sanyo 9GV1212P1J01
341,miner
343,Bitmain IP reporter
344,Bitmain Antminer
345,Vent tubes
346,Fan duct shrouds
347,Antminer S9
348,Router
349,Antminer S3+
350,Raspberry Pi
352,sub panels
353,breakers
354,panels
355,receptacles
356,Avalon 741
357,Asus rt-86u
359,S7
360,netgear
361,internet switch
362,S9
363,AP3 psu
364,Cgminer Version 4.8.0
365,Linux 3.8.13
366,Antminer S7
368,MP1484EN
369,BeagleBone Board
370,Ebit E9+
371,Avalon 741
372,antminer
373,Ebit e9+
374,Bitmain Antminer S7
375,PSUs
376,Cointerra Terraminer IV
378,CTA1
380,Antminer S7
381,S9
382,clamp
384,external SD adapter
385,tablet
386,cell phone
387,laptop
388,APW3++
389,S9
391,PC
392,IOGEAR Universal Ethernet to Wi-Fi N Adapter
393,laptop
394,Ethernet cords
395,IO board
396,S7
397,Antminer S9
398,Dragon Miner
399,Antminer S3
400,SP20 Jackson
402,Antminer s5
404,CT enclosure
405,poco
407,power supply
408,EVGA power supplies
409,25kva
410,200A fusible disconnects
411,200A 3R panels
412,50A outlets
413,meter can
414,Antminer S9
416,S9
417,vent tubes
418,A/C
419,processor
420,heatsink
421,antminer s4
422,paper towel
423,Chain #6 chip
424,Fan 6
425,Antminer S9
426,5-15p receptacles
427,S9 miner
428,FAR RIGHT
429,MIDDLE
430,APW3++
431,apw3+
433,741
434,APW5++
435,s9
437,AP3W++
438,PSU
439,Antminer S9
440,Bitmain Antminer S3
441,S9 Antminer
442,D3
443,S9
444,Avalon 741
445,Xfinity modem
447,S9 Antminer
448,chip
449,surge protectors
450,server PSUs
451,APW3s
452,s9
454,Bitmain PSU
455,Thermaltake 750W PSU
456,EVGA 1300W PSU
457,EVGA 1600W PSU
458,Antminer S9
459,S9 ASIC
460,PSU
461,8kw setup
462,Antminer S9
463,APW3++
465,power tools
466,whatsminer m3
467,Amazon
468,antminer S9
469,air filters
470,D3
472,S9
473,L3+
474,200A 3 phase panel
475,Antminer S9
476,wireless range booster
477,Raspberry Pi3
478,GekkoScience 2Pac
479,frontpanel 10xUSB2.0-hub
480,12 port hub
481,external power supply
482,power supply
483,raspberry pi
484,Butterfly Labs Monarch
485,BFL space heater
486,Ethernet
487,PDU
488,15A 14 AWG C14-C13 power cord
489,S9
490,A3
491,subpanel
492,L6-30P receptacle
493,30 amp PSU
494,Bitmain PSU
495,S7
497,ASIC
498,industrial miner
499,hash boards
500,S9
501,Antminer S9
502,HP server PSU
504,Avalon 741
506,S9 miner
507,cooling system
508,Hashboard
509,S9 antminer
512,A6
513,APW3
514,Antminer S9
516,antminer s9
517,s9 Miner
518,IP report button
519,PSU
520,Antminer S4
521,Antminer L3
522,Antminer S9
525,S7 Unit
526,S9s
527,Hashboard 3
528,Hashboard 2
529,Hashboard 1
530,autofreq april firmware
531,s9
532,november 2017 firmware
533,Avalon 741
535,Avalon 741 Miner
536,Antminer s7
537,Bitmain APW3++
538,HP Server Power Supplies
539,APW3
540,AP3++ PSU
541,hash board
542,Antminer S9
543,BitmainTool app
544,Antminer S9
545,April firmware
546,November firmware
547,Auto tune firmware
548,S9 13.5th/s
549,Antminer S9
550,Antminer T9+
551,Antminer T9+
552,PSU
554,Antminer S9
555,S9
556,Bitmain AntMiner S1
558,inductors
560,powerline adapter
561,heatsinks
562,laptop
563,modem
564,s7
565,HP server PSUs
566,control board
567,platinum volt switching PSU
568,SpondooliesTech SP30
569,SP10
570,PC power supply
572,server room
573,datacenter
574,Neptune
575,computer room
576,shares
577,space heater
578,rigs
581,L3+
582,outlets
583,s9
584,cabling
585,TI AM335x BeagleBone
587,beagle bone
588,hardware version
589,S7
590,ARMv7 Processor
592,Antminer S7
593,Avalon 741
594,Ethernet switch
595,Laptop
596,Router
597,Antminer s9
598,2000w capacity power stick
599,S9
600,Windows laptop
601,S9
602,PSU
603,Cooler Master
604,S9s
605,150 amp 32 breaker box
606,Rosewill 1500W
607,C1
608,7.8 amp 1400w server PSU
609,Sorcerer's PSU
610,15 amp 1600w power supply
611,Avalons 741s
612,BFL 60
613,BFL Jalapeno
614,HEX16C
615,HEX16A2
616,HEX16A1
617,TP-Link TL-3020
618,HEX16B
619,Antminer S9
620,Bitmain APW3 PSU
621,December 2017 batch
622,S9
623,MG Chemicals Thermally Conductive Adhesive
624,arctic silver two part heatsink adhesive
625,30 AMP pdu
626,non-autotune version
627,L3+
628,APW3++ Bitmain power supplies
629,furnace
631,18pin
632,s7 board
633,Antminer S9
634,APW3++ power supply
636,cellular modem
637,laptop
638,s9
639,T9+
640,S9_12.0T
641,box internet
642,Antminer s9
643,Antminer L3+
644,Antminer S9
645,antminer s9
646,Antminer S9
648,Antminer S9
649,ASIC card
650,PSU
651,S9
652,antminer s9
653,AS9 14th/s miners
654,PDUs
655,powercords
656,741
657,Antminer S7
658,S9
660,Pangolin M3
661,Antminer S9
662,Antminer s9
664,Teamview
665,Awesome Miner
666,antminer S9
668,hashboards
669,miner
671,Antminer S9
672,30 amp power regulator
673,power supply
674,hashing boards
675,Antminer s9
676,antminer s9
677,plywood box
678,flexible pipes
679,wire shelving unit
680,Antminer S9
681,Antminer S9
683,Bitmain AW3+++ PSU
684,S9 Miners
687,whatsminer m3
688,s9
689,APW3++ PSU
690,L6-30r socket
691,10 gauge wire
692,60 amp breaker
693,Antminer S1-S5
694,Linux Mint
696,D3
697,L3+
699,Bitmain S9
702,Antminer S9
703,power supplies
704,Avalon
706,server psus
707,S9
708,insulated 6 inch pipe
709,4 inch wyes
710,6 inch duct silencer
712,M3s
713,s9 antminer
714,power supply APW3++
715,garage
716,S9 antminer
717,hashing boards
719,PSU
720,APW3++
721,PSU
722,Antminer S9
724,air conditioner
725,S9
727,PSU
728,Antminer S9
729,Controller board
730,Router
731,PSU
732,s9
733,APW3++
734,APW3++
735,S9
736,Avalon 741
741,Server Technology
742,Tripp-Lite 30amp power strips
745,Antminer S5
746,Antminer S7
747,550M hashboard
748,XILINX board
749,1GB control board
751,Y.L. D12BM-12D Fan
752,S9
753,EVGA SUPERnova 1600W G2
754,S9
755,Batch 11 machines
756,Batch 20
757,APW3++ PSU
758,surge protector
759,S1
760,antMiner S9
761,antMiner S7
762,fixed frequency S9s
764,fixed frequency boards
767,Antminer S9
769,breaker
770,clamp-on type amp meter
771,power filter light bar
772,Antminer S5
773,SP20
774,Hotmine X5 upgrade kit
775,antminer S9
777,hashing boards
778,Antminer S4
779,Antminer S5
780,Antminer S3
781,S9
782,PSU
785,plywood wall
786,shelves
787,Antminer S9
790,miner software
791,PSU
792,S7 miner
794,Antminer L3+
796,Ethernet switch
797,cat 7
798,4G Wifi modem
799,s7
800,S9
801,BITMAIN Antminer V9
803,dongle
804,Avalon 741
805,PSU
806,S9 control board
807,3-phase output
808,Bitmain supplied PSU's
809,genset
810,bitmain PSUs
811,S9
813,BFL Monarchs
814,PSU
815,Avalon 741
816,Antminer L3+
817,Antminer S9
818,miner
819,antminer s9
820,miner
821,Antminer S9
822,HP 1200 watt PSU
823,rpi3
824,Avalon 6
825,AUC
826,AUC3
827,Avalon 741
828,power supply
829,Corsair 750M
830,S9
831,T9+
832,L3
833,D3
834,Wemo Insight
835,Fibaro Smart Plug
837,Aeotec Z-stick
838,TP-Link HS110
839,Revogi smart strip
840,S9
841,APW3++ PSU 1600W
842,surge protector
843,bitmain APW3++ PSU
844,power supply
845,S9
846,S9
847,R4
848,S9
849,APW 3++
850,S9 miner
852,S7
854,computer
855,network cards
856,SP20
857,S5
858,L3
859,A3
860,Antminer S9
861,PSU
862,hash board
863,Antminer s9
864,APW3 power supply
865,Acurite weather station
866,Windows 10
867,antivirus
869,Avalon 741
870,antminer s9
871,S9
872,PSU
873,Internet connection
875,Avalon 741
877,721
878,741
880,S9 miner
883,S9
884,hashboard
885,ant miner s9
886,Erupter
887,asicminer block erupter usb
888,BFL jalapeno
889,BE
890,USBs
891,USB block erupter
892,Block Eruptors
893,10 port USB 2.0 hub
894,Blue Fury
895,USB 2.0 hub
896,USB hubs
898,Zalman 1000W
899,Corsair CX750
901,OpenWRT miner-of-doom
902,Anker hubs
903,Block Erupters
905,D3
906,Antminer s5
907,green hashing board
908,server supplies
910,hash boards
911,AUC3 converter
912,PSU
913,Avalon 741
914,antminer S9
915,computer
918,T9+
919,power supply
920,APW3++
921,Antminer s9
922,Miner PSUs
923,Antminer s9
924,Antminer s7
925,Transformer
926,IBM 2880 Bladecenter
927,Avalon 741
928,windows
929,Zadig
930,Antminer S9
931,miner
932,PSU
933,EBIT E10
934,miners
935,L3+
936,A3
937,APC XL heavy duty ups
938,APW3++ Bitmain official power supply
939,APC pure sinewave ups
940,PSU
941,Weller WES51 soldering station
942,Hobby creek helping hands holder
943,Emerson supplies
944,Deepinthemines breakout boards
945,Antminer S9
946,Antminer S7
947,APC 7863 PDU
948,3-phase 20 amp circuit
949,L21-20p male plug
950,NEMA L6-20 208v receptacles
951,NEMA L5-20R 120v receptacles
952,Bitmain AP3++ PSU
953,Antminer S9
955,200 amp panel
956,125 amp sub panel
957,100 amp sub panel
958,200 amp house panel
959,dual 220V 15amp receptacle
960,700M s7 boards
961,s7
962,Antminer s9
965,miners
966,laptop
967,desktop
968,PSU
969,hash board
970,broadband connection
971,AntMiner S5
973,Chain[6]
974,Chain[7]
975,Antminer S9
976,avalon miner
977,whole home protector
978,PC
979,s9s
980,m3s
981,S9
982,antminer s9
983,S9
984,cooler
985,thermo-switch
988,PSU
989,Antminer S9
991,S9
992,TRENDnet Powerline adapter
994,Ebang Ebit Miner E9+
996,Bitmain PSU
997,Antminer S4
998,microsd
999,EVGA Titanium 1600W power supply
1000,LEPA
1001,Antminer
1002,PSU
1003,Electric Stove
1004,Antminer S9
1005,PSU
1006,hashboards
1007,avalon miner 821
1008,psu
1009,Avalon Controler
1010,Avalons
1011,SDHC cards
1012,821
1013,Avalon AUC3
1014,Raspberry Pi 1
1015,Pi 3
1016,841
1017,Controller
1018,AUC3
1019,AUC2
1020,A6 miner
1021,AvalonMiner 841
1022,Raspberry PI
1023,zip ties
1025,GPIO circuit
1026,Antminer S9
1027,AvalonMiner 841
1028,Bitmain APW3++ power supplies
1030,AvalonMiner 841
1032,S9
1033,NEMA 6-15P outlet
1034,S9
1035,M3
1036,Kill-a-watt
1037,S9
1038,M3
1039,HP 228481-002
1040,S9 Antminer
1041,s-9 board
1042,portable ac units
1043,S9
1044,exhaust
1045,M3s
1046,filters
1047,shrouds
1048,duct work
1049,door
1050,filters
1051,flex tube
1052,S7
1054,miners
1055,S9
1056,Sorcerer PSU
1057,miners
1058,PSU's
1059,Avalons
1060,L3+
1061,S9
1062,miners
1063,100KW datacenter
1064,rented room
1065,soundproof box
1066,ASICs
1067,lithium battery
1068,s-3+ newest version
1069,Spondoolies SP20
1070,evga 1300g2 unit
1071,S9
1072,hashboard
1073,PSU
1075,HP Platinum series 1200w PSUs
1076,S9 boards
1077,antminers
1079,dryer
1080,ACs
1081,antMiner S9
1083,Sj brand
1085,Antminer S9
1086,HP1200w platinum power supply
1087,L3
1088,PSU
1089,Antminer S9
1090,Antminer S9
1091,EVGA 1600w p2
1092,Avalon miners
1094,ASIC
1095,firmware
1096,power supply
1097,miner
1099,Avalon 841
1100,"S9 13,5T"
1101,S9 antminer
1102,miners
1103,service panel
1104,30 Amp tree-pole breakers
1105,EMT run
1106,Bitcrane T-110
1107,cubieboards
1108,power supplies
1109,Hashfast module
1110,Cooler Master Nepton 120XL
1111,AntMiner S9
1112,A6
1113,S9
1114,L3
1115,S9 Antminer
1117,Antminer S9
1118,Bitmain V9 ASIC
1119,Ethernet connection splitter
1120,Router
1121,Modem
1122,GPUs
1123,S5
1124,Antminer S9
1125,Miner
1126,Ethernet Cable
1127,Antminer S9
1128,L3
1129,PDU
1130,D3
1131,A3
1134,955
1135,Avalon 841
1136,960 miners
1137,Bitmain PSU
1138,Netgear 7 port gigabit switch
1139,Netgear GS316
1140,Avalon 841
1141,Avalon 821
1142,L3
1143,Antminer S9
1144,Netgear 10-100 switch
1145,Antminer S9
1146,Bitmain Antminer S9
1147,S9
1148,Antminer S9
1149,washable electrostatic filter
1150,150 asic server farm
1151,vents
1152,3M filters
1153,wooden shed
1155,Antminer S9
1157,Antminer S9
1158,Antminer S9
1159,Antminer S9
1160,Antminer S9
1161,Antminer R4
1162,S9
1163,T9+
1164,heatsink
1165,antminer s9
1166,AntMiner S9
1167,basement window
1168,ducts
1169,Antminer S9
1170,S9's
1171,Avalons
1172,miner
1174,laptop
1175,S9
1176,13Th S9
1177,aftermarket spare
1178,APW3++
1179,Antminer s9
1180,14Th units
1181,S9V2.23
1182,S9_V2.51
1183,S9
1184,Antminer
1185,S9
1188,m6 board
1190,Raspbian
1191,Antminer S9 13.5T
1192,Raspberry Pi
1193,switch
1194,Avalons
1195,Porsche
1196,Asic Cube
1197,USB Sticks
1198,T9+
1199,T9+s
1200,PSU
1201,Antminer T9+
1202,ASIC
1203,Chain 13
1204,2400W PSU
1205,Blade
1206,BFGminer
1207,s-1
1209,antminer s1
1211,nest protect smoke detector
1212,wifi enabled light switch
1213,psu
1214,ac
1215,GHASH
1216,Avalon 741
1218,Ledger Nano S
1219,Bitmain V9 miner
1220,Pi
1221,Antminers
1222,smart switches
1223,asics
1224,S9
1225,1600W Rosewill PSU
1226,hashboards
1228,S9
1229,GPUs
1230,Full Cycle Mining
1231,Antminer
1232,Antminer
1233,Layer 2 Ethernet switch
1234,Halong Mining DragonMint T1
1235,S9
1236,AMD 6990
1237,KNC
1238,Dragonmint T1
1239,S7
1240,BTC wallet
1241,antpool.com account
1242,power supply
1243,S9
1244,ntp
1245,bitmain
1246,Bitmain S7
1247,Classic Avalon Batch 3
1248,Spondoolies Rockerbox
1249,Antminer S3+
1250,PSU
1251,steel racking
1252,Delta PSU
1253,S7
1254,APW3 Bitmain power supply
1255,S9
1256,S9
1257,Batch 1 S9
1258,Xapo
1259,T9s
1260,wirex
1261,Slush
1262,Blades
1263,T9
1264,T9
1265,APW3++
1266,Halong Mining DragonMint T1
1267,F2pool
1268,Slush
1269,Bitminter
1270,Whatsminer M2
1271,Antminer S9
1274,metal shelving
1275,Antminer S1
1276,antminers
1278,AC units
1279,Avalon 6
1280,Antminer S9
1281,PSU
1282,Raspberry Pi
1284,Router
1285,S9
1286,T9+
1287,antminer s9
1288,bmminer
1289,Antminer S9
1290,Broadband connection
1291,AC
1293,water cooled miner
1294,T9+
1295,AC
1297,Costco
1298,Sams
1299,Restaurant Supply Depot
1300,Ace Mart
1301,Home Depot
1302,Minera
1303,antminer
1304,dedicated servers
1305,raspberry pi
1306,ASUS-DSLAC68U
1307,ethernet switch
1308,computer
1309,Avalon 821
1310,Avalon 841
1311,S9
1312,switch
1313,Pi
1314,AUC
1316,Antminer S9
1317,Bitmain PSU
1319,S9
1320,500 watt power supply
1321,S5
1322,S7
1323,Hashboard
1325,antminer
1326,Avalon 6 Miner
1327,control board
1328,rpi 3
1329,miner
1331,Antminer s9
1333,ASIC miner
1334,S9
1335,T9
1336,S9
1337,AC
1338,flex hose
1341,antminer
1342,PSU
1343,S9s
1345,ASICs
1346,antMiner S7
1348,R9 Nitro 380
1349,S7
1350,380
1351,Cisco certified products
1352,switches
1353,280x
1354,Ebit E10
1357,hashboards
1358,Avalons
1359,Titans
1360,power supply
1361,ethernet connection
1363,chip
1364,Bitmain.com
1365,Antminer S9
1366,heatsink
1367,T1
1368,B3
1369,Antminer S9
1370,APW3++
1371,Fan
1372,S7
1373,Avalon
1374,BE Array
1375,S9
1376,BTC.com Tools
1377,Chips
1378,PCB
1379,Square D whole house suppressor
1380,whole house protector
1381,EVGA gold PSU
1382,old surge protectors
1383,Monster green power surge protectors
1384,ethernet over power adapters
1386,Capacitors
1387,Fan
1388,Xilinx SoC Card
1389,Bitmain Miner Controller
1390,21 Bitcoin Mining Computer
1391,antminer s9
1392,bitmain firmware
1393,asics
1394,S9 Antminer
1396,air compressor
1397,25 miners
1398,HVAC system
1399,decibel meter
1400,insulated ducting
1401,"8"" insulated ducting"
1402,s9
1403,RC batteries
1404,S9
1405,S7
1406,Antminer s9i
1407,3d printed shrouds
1408,Antminers
1409,30 amp breaker
1410,Ethernet
1411,AntMiner S3
1412,Antminer V9
1413,Chrome
1414,S9
1415,Bitmain
1416,T1
1418,3-phase 150kVA Transformer
1419,240V 400A disconnect
1420,240V 400A power distribution panel
1421,Antminer S9
1422,AntMiner S9
1423,Official BITMAIN PSU
1424,APW3++
1426,antminer s9
1427,hashing boards
1428,2pacs
1429,nano bit fury
1430,Lenovo tablet
1431,5V 3 Amp power adapter
1432,GSD blades
1433,Raspberry Pi
1434,rock miners
1435,GAW miner
1436,USB power meter stick
1437,S9
1438,ANTMINER S5
1439,Thermal paste
1440,Blades
1441,Control board
1442,Antminer S3
1443,PSU
1444,S9 miners
1445,s9i
1446,T9
1447,s9
1448,S9i miners
1449,knc miner Neptune
1451,Terminus R808
1452,56Th clothes dryer
1453,4 units
1456,onephase speedcotroller
1458,eggcrate foam
1459,AC
1460,Antminer S9
1462,s9
1463,Avalon 841
1464,RasPi PSU wall warts
1465,AUC dongle
1466,Avalon 821
1467,L3+
1468,Liquid Cooling Box
1469,S9i
1470,s9
1473,board
1474,chip
1475,ANTMINER S9
1476,s9 miner
1477,delta/wye step down xmfrs
1478,480V main panel
1480,distribution breaker panels
1481,S9
1482,bitmain
1483,innosilcion
1484,QFR1212GHE-SP01
1486,fuse Panel
1487,dual 20 amp outlet
1488,12-2 wire
1489,antminers
1490,LCD display
1491,Avalon 741s
1492,space heaters
1493,Antminer S7
1494,EVGA G2 1600W
1495,hashboard
1496,S9
1497,Avalon 741
1498,Avalon A7xx
1499,Antminer T9+
1500,Avalon
1501,RX 480
1502,heatsinks
1503,antminer s9
1505,821s
1506,841s
1507,PSU AWP3++ Power Supply
1508,Antminer S9
1509,S9 13.0ths
1510,EVGA 1600w
1511,Delta 2400 watt
1512,Corsair ax1500i
1513,Avalon 841
1514,Sorcerer
1515,HP 2450 watt
1517,s9
1518,S9
1519,PSUs
1520,CT92324
1521,M3s
1522,"12,000btu ac unit"
1523,Antminer T9
1524,"chains 4, 13, and 14"
1525,APW3++
1526,T1
1527,sorcerer
1528,APW3++
1529,Soccerer
1530,Antminer E3
1531,Antminer X3
1532,Antminer L3
1533,Antminer Z9
1534,Antminer A3
1535,Antminer D3
1536,Antminer B3
1537,Bitmain
1538,spares
1540,S9s
1543,PTAC
1545,Activated carbon filters
1546,PSUs
1547,"3/8"" plywood"
1548,2x4's
1550,Louvers
1551,S9
1552,bitmain power supply
1553,Antminer S9
1555,miner
1558,Antminer S9
1559,miner
1560,PSU
1561,Antminer S5
1562,S9i 14TH/s Antminers
1563,shelving system
1564,electricity outlet distribution
1565,electricity distribution box
1566,160 ASIC crypto mining container
1567,base model air filters
1568,auto freq firmware
1569,S9
1570,antminer s9
1571,S9
1572,S9
1573,S9
1574,S9
1575,S9
1576,S9
1577,S9
1578,S9
1579,S9
1580,S9
1581,S9
1582,S9
1583,S9
1584,S9
1585,Spondoolies SP20
1586,ASICs
1589,Raspberry Pi
1591,psus
1593,psus
1595,psus
1596,PSU's
1598,PSU
1600,S9 antminers
1601,racks
1603,PDU
1604,wireless access points
1605,Bose Quiet Comfort 35
1606,Antminer S7
1607,water cooling blocks
1608,base
1609,200amp meter
1610,psus
1611,miners
1613,S5
1614,hologram sticker
1615,Antminer S5
1616,hashboard
1617,PSU
1618,Antminer S7
1621,control board
1622,hashing boards
1623,T1
1624,B3
1625,A3
1626,T9
1627,S9
1628,S9
1630,insulation/noise reduction foam
1631,vent screws
1632,intakes
1633,bmminer
1635,Ebit E9 miner
1636,Bitmain S9 unit
1637,APW6
1638,HP Gld
1639,Dell Plat
1640,APW3+
1641,Corsair 1500 Titanium ATX
1642,APW5
1643,S9
1644,Bitmain PSU
1645,Avalon 841
1646,APW7
1647,Dragonmint T1
1648,S9
1650,hash cards
1652,S9
1653,V9
1654,Antminer S9/S9i
1655,high power PSU
1656,S9i
1657,miner
1658,S9
1659,Asic
1660,bitmain psu
1661,s9
1662,antminer T9+
1663,S9
1664,PSU
1665,L3+
1666,AC units
1667,central air
1668,S9
1669,raspberry pi
1670,old computers
1671,innosilicon miners
1672,S9
1673,L3+
1674,A3
1675,A4
1676,antminer S7
1677,PSU
1678,antminer 1600 watt PSUs
1679,multimeter
1680,Antminer S9
1683,APW3++
1684,S9
1685,Antminer S9
1686,Whatsminer M3
1687,Whatsminer M3X
1688,Antminer A3
1689,Ethereum Rigs
1690,blade
1691,CGMiner
1692,BFGMiner
1693,CGWatcher
1694,Antminer S9
1696,Avalon 841
1697,s9 antminers
1699,L3+ miner
1700,Antminer S9
1701,psu
1702,gpu
1703,Avalon Miner 841
1704,Bitmain s9
1705,s9
1706,821
1707,hashboards
1708,Antminer s9i
1709,Thermal pads
1710,Waterblocks kits
1711,Conversion kit
1712,Antminer S9
1713,Bitmain PSUs
1714,sorcerer
1715,Bitmain
1716,APW5
1717,s9
1718,Canaan
1719,Avalon 821
1720,air conditioners
1721,hash card
1722,T9+
1723,S9
1724,usb miner
1725,GekkoScience 2Pac BM1384 Stickminer
1727,voltage step up converter
1728,IO board
1729,Antminer S7
1730,cameras
1731,60 amp 3 phase receptacles
1732,smart meter
1733,personal machine
1734,Dryer
1735,computer hardware
1736,Miners
1737,Nodes
1738,Innosilicon T2Turbo 24th model
1739,Innosilicon T2Turbo
1740,Antminer S9
1741,S9
1742,Antminer S9
1743,control board
1744,Avalon 841s
1745,PC
1747,wireless adapter
1750,NIDEC UltraFlo W12E12BS11B5-57
1751,Antminer S9
1752,NIDEC UltraFlo W12E12BS11B5-07
1753,Avalon 841
1754,S9
1756,PDU
1757,analog single phase electricity meter
1758,15(60)Amp
1759,APW3++
1760,Avalon 841
1761,S9
1762,antminer s9
1763,roof panels
1764,Core Duo
1765,Core node
1766,Solo CPU miner
1767,Hotmine X6
1768,antminer s9j
1769,Antminer S9
1771,Bitmain APW 3++
1773,L3
1774,D3
1775,S9 miners
1776,200 miners
1777,gpu farm
1778,cooling pad
1779,T9
1780,S9i
1781,S9
1782,Titan
1783,KNC Jupiter 550gh
1784,GekkoScience Compac BM1384 Stickminer
1785,Antminer S9
1788,S9
1789,antminer S9
1790,hashing board
1791,antminer s9
1792,Antminer S9
1793,server room
1794,220v connections
1795,bandwidth
1796,S9
1797,circuit breaker
1798,natural gas gen-sets
1799,Bitfury V1.2 H-Cards
1800,M-cards
1801,AvalonMiner 851
1802,16nm ASIC chip
1803,A3210M
1804,XFX Radeon 6770
1806,6850
1807,XFX HD6870
1808,Asus 5450
1809,CPU
1810,S9
1811,DragonMint T1
1812,S9
1813,400A panel
1814,meters
1815,PSU
1816,LKETC miners
1818,Hashboard
1820,t9
1821,Bitmain Antminer T9+
1822,S9
1823,Meter Box
1824,Distribution Board
1825,Wiring
1826,240v Supply
1827,Miners
1828,APW3++ PSU
