month,optimistic_speculation,pessimistic_speculation,bitcoin_adoption,bitcoin_technology,financial_products,bitcoin_challenges,scams,bitcoin_mining,altcoins,educational_resources,other,posts_count
2023-04,53,16,36,51,11,54,14,24,8,133,62,462
2023-05,46,6,34,79,8,84,19,31,16,148,69,540
2023-06,24,9,29,33,25,56,20,21,7,109,63,396
2023-07,40,4,30,35,21,37,10,14,9,97,38,335
2023-08,45,11,29,34,19,43,17,18,13,91,37,357
2023-09,44,11,29,55,23,64,15,23,12,110,53,439
2023-10,53,8,23,53,28,45,23,19,12,128,54,446
2023-11,48,5,23,65,23,64,21,23,12,112,39,435
2023-12,50,12,24,69,22,63,9,28,20,121,51,469
2024-01,50,12,28,63,49,48,21,19,12,125,42,469
2024-02,34,1,13,41,24,46,7,18,9,87,36,316
2024-03,32,7,8,28,20,22,12,8,6,53,28,224
